from_stop_id,to_stop_id,min_transfer_time
112,A09,180
125,A24,180
127,725,180
127,902,180
127,A27,300
127,R16,180
132,D19,300
132,L02,180
140,R27,120
222,415,180
228,A36,180
228,E01,180
229,418,300
229,A38,180
229,M22,300
232,423,300
232,R28,180
235,D24,180
235,R31,180
239,S04,180
254,L26,300
414,D11,180
415,222,180
418,229,300
418,A38,180
418,M22,300
423,232,300
423,R28,180
629,B08,300
629,R11,180
630,F11,180
631,723,180
631,901,180
635,L03,180
635,R20,180
637,D21,180
639,M20,180
639,Q01,180
639,R23,180
640,M21,180
710,G14,180
718,R09,0
719,F09,300
719,G22,180
723,631,180
723,901,300
724,D16,180
725,127,180
725,902,300
725,A27,180
725,R16,180
901,631,180
901,723,300
902,127,180
902,725,300
902,A27,300
902,R16,180
A09,112,180
A12,D13,180
A24,125,180
A27,127,300
A27,725,180
A27,902,300
A27,R16,300
A31,L01,90
A32,D20,180
A36,228,180
A36,E01,300
A38,229,180
A38,418,180
A38,M22,180
A41,R29,90
A45,S01,180
A51,J27,180
A51,L22,180
B08,629,300
B08,R11,300
B16,N04,180
D11,414,180
D13,A12,180
D16,724,180
D17,R17,180
D19,132,300
D19,L02,180
D20,A32,180
D21,637,180
D24,235,180
D24,R31,300
E01,228,180
E01,A36,300
F09,719,300
F09,G22,180
F11,630,180
F15,M18,180
F23,R33,180
G14,710,180
G22,719,180
G22,F09,180
G29,L10,180
J27,A51,180
J27,L22,180
L01,A31,90
L02,132,180
L02,D19,180
L03,635,180
L03,R20,180
L10,G29,180
L17,M08,180
L22,A51,180
L22,J27,180
L26,254,300
M08,L17,180
M18,F15,180
M20,639,180
M20,Q01,180
M20,R23,300
M21,640,180
M22,229,300
M22,418,300
M22,A38,180
N04,B16,180
Q01,639,180
Q01,M20,180
Q01,R23,180
R09,718,0
R11,629,180
R11,B08,300
R16,127,180
R16,725,180
R16,902,180
R16,A27,300
R17,D17,180
R20,635,180
R20,L03,180
R23,639,180
R23,M20,300
R23,Q01,180
R27,140,120
R28,232,180
R28,423,180
R29,A41,90
R31,235,180
R31,D24,300
R33,F23,180
S01,A45,180
S04,239,180
