service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20150614WKD,1,1,1,1,1,0,0,20150614,20161231
A20150614SAT,0,0,0,0,0,1,0,20150614,20161231
A20150614SUN,0,0,0,0,0,0,1,20150614,20161231
B20150614WKD,1,1,1,1,1,0,0,20150614,20161231
B20150614SAT,0,0,0,0,0,1,0,20150614,20161231
B20150614SUN,0,0,0,0,0,0,1,20150614,20161231
R20140615WKD,1,1,1,1,1,0,0,20140615,20151231
R20140615SAT,0,0,0,0,0,1,0,20140615,20151231
R20140615SUN,0,0,0,0,0,0,1,20140615,20151231
S20140615MON,1,0,0,0,0,0,0,20140615,20151231
