"","station","station_id","entries_per_hr","exits_per_hr"
"1","242 ST","101",71.8354166666667,38.94375
"2","238 ST","103",52.3972222222222,1.325
"3","231 ST","104",37.1533333333333,5.94666666666667
"4","MARBLE HILL-225","106",45.0683333333333,11.8475
"5","215 ST","107",18.6604166666667,8.225
"6","207 ST","108",41.8819444444444,18.9180555555556
"7","DYCKMAN ST","109",45.9708333333333,27.0055555555556
"8","191 ST","110",77.575,83.2729166666667
"9","181 ST","111",88.855,94.3483333333333
"10","157 ST","113",53.51875,39.575
"11","145 ST","114",55.725,42.0309523809524
"12","137 ST-CITY COL","115",56.2064814814815,38.2564814814815
"13","125 ST","116",61.2383333333333,57.8916666666667
"14","116 ST-COLUMBIA","117",95.753332953472,48.1581692058084
"15","103 ST","119",89.8540025323979,39.4018676783441
"16","96 ST","120",66.7181445603577,62.3777943368107
"17","86 ST","121",52.97006865203,52.2751848185483
"18","79 ST","122",72.7990484908397,38.9408302499221
"19","72 ST","123",78.6887350791115,70.6519141298888
"20","66 ST-LINCOLN","124",38.0628640582462,34.0810008557833
"21","59 ST-COLUMBUS","125",44.8028664591564,39.396907197249
"22","50 ST","126",56.7850490509682,54.763998093972
"23","34 ST-PENN STA","128",66.1862041467305,68.8588516746411
"24","28 ST","129",53.5759286482995,36.7382043242173
"25","23 ST","130",85.6345693779904,68.6692583732057
"26","18 ST","131",42.6943763010525,25.1314816970941
"27","14 ST","132",53.3885867402251,28.1137396002349
"28","14 ST-6 AVE","132",39.632308272266,42.8065789829759
"29","HOUSTON ST","134",39.0438888888889,24.8922222222222
"30","CANAL ST","135",41.2013888888889,41.1555555555556
"31","FRANKLIN ST","136",28.046875,14.59375
"32","CHAMBERS ST","137",54.162498455707,44.6256047494663
"33","RECTOR ST","139",48.6419201236274,36.0375283328665
"34","WAKEFIELD-241","201",40.9883333333333,41.7233333333333
"35","NEREID AVE","204",45.5138888888889,17.7333333333333
"36","233 ST","205",42.2248322147651,13.1442953020134
"37","225 ST","206",54.3555555555556,22.6305555555556
"38","219 ST","207",43.2388888888889,17.1555555555556
"39","GUN HILL ROAD","208",45.2652777777778,46.4263888888889
"40","BURKE AVE","209",44.6166666666667,14.8972222222222
"41","ALLERTON AVE","210",73.5805555555555,29.1555555555556
"42","PELHAM PARKWAY","211",40.7824074074074,17.0342592592593
"43","BRONX PARK EAST","212",34.8833333333333,13.8694444444444
"44","E 180 ST","213",49.7472222222222,42.3486111111111
"45","149 ST-3 AVE","221",55.5035629453682,26.1347980997625
"46","149 ST-GR CONC","222",40.1632066360434,23.9972495445529
"47","135 ST","224",51.2665361482953,15.8248545007673
"48","125 ST","225",70.4508824612305,28.7601333630813
"49","116 ST","226",56.1049547741144,23.1993751784798
"50","PARK PLACE","228",36.1104166666667,30.8875
"51","FULTON ST","229",NA,NA
"52","WALL ST","230",45.4,43.8632575757576
"53","CLARK ST","231",59.4458333333333,37.1625
"54","HOYT ST","233",22.3798611111111,20.03125
"55","NEVINS ST","234",39.5625,37.0208333333333
"56","BARCLAYS CENTER","235",29.0031659568845,22.4371961323018
"57","STERLING ST","242",71.6694444444445,44.575
"58","WINTHROP ST","243",75.256819953557,17.0060431264614
"59","CHURCH AVE","244",40.9342592592593,9.575
"60","BEVERLY ROAD","245",42.3083333333333,7.88333333333333
"61","NEWKIRK AVE","246",32.5323018458835,22.4350464856922
"62","FLATBUSH AVE","247",37.9043859649123,22.8052631578947
"63","148 ST-LENOX","301",48.9694444444444,42.4583333333333
"64","145 ST","302",46.1834174279129,2.15182720260317
"65","WOODLAWN ROAD","401",61.0416666666667,20.82
"66","MOSHOLU PARKWAY","402",37.6342592592593,12.0009259259259
"67","KINGSBRIDGE RD","406",71.285,43.95
"68","FORDHAM ROAD","407",78.4458333333333,16.6041666666667
"69","183 ST","408",59.80625,30.3208333333333
"70","BURNSIDE AVE","409",82.5133333333333,48.5066666666667
"71","176 ST","410",57.8395833333333,31.9666666666667
"72","MT EDEN AVE","411",55.0833333333333,41.2520833333333
"73","170 ST","412",90.1833333333333,63.1166666666667
"74","167 ST","413",94.3,91.9395833333333
"75","161 ST-YANKEE","414",19.5702569114692,10.6006401896811
"76","149 ST-GR CONC","415",41.8311344135706,25.2464433522057
"77","138 ST-GR CONC","416",44.3027777777778,39.8388888888889
"78","FULTON ST","418",NA,NA
"79","WALL ST","419",32.752478314746,22.7633983890954
"80","BOWLING GREEN","420",43.7417478781909,41.5029487343962
"81","DYRE AVE","501",35.3566666666667,33.9483333333333
"82","BAYCHESTER AVE","502",45.4138888888889,5.79722222222222
"83","GUN HILL ROAD","503",53.5395833333333,14.2541666666667
"84","ORCHARD BEACH","601",0.766666666666667,0.0633333333333333
"85","PELHAM BAY PARK","601",30.8722457670943,19.7536687572631
"86","BUHRE AVE","602",19.3013888888889,18.5708333333333
"87","MIDDLETOWN ROAD","603",12.6833333333333,12.1444444444444
"88","WESTCHESTER SQ","604",76.5241477272727,75.5198863636364
"89","ZEREGA AVE","606",14.4375,13.0680555555556
"90","CASTLE HILL AVE","607",37.1107142857143,34.2892857142857
"91","E 177 ST-PARKCH","608",50.6958333333333,52.4916666666667
"92","ST LAWRENCE AVE","609",27.2472222222222,24.6222222222222
"93","MORRISON AVE","610",42.1486111111111,35.3611111111111
"94","ELDER AVE","611",40.7069444444444,38.7513888888889
"95","WHITLOCK AVE","612",10.7430555555556,11.2930555555556
"96","HUNTS POINT AVE","613",39.2620689655172,30.4137931034483
"97","LONGWOOD AVE","614",21.7972222222222,19.4847222222222
"98","E 149 ST","615",28.6986111111111,26.3444444444444
"99","E 143 ST","616",5.84166666666667,6.41666666666667
"100","CYPRESS AVE","617",23.8611111111111,15.7305555555556
"101","BROOK AVE","618",32.4,28.6392857142857
"102","138 ST-3 AVE","619",72.0979166666667,54.28125
"103","125 ST","621",74.4262820512821,71.8141025641026
"104","116 ST","622",76.028125,40.996875
"105","110 ST","623",87.2555555555556,63.8305555555556
"106","103 ST","624",45.8084521696572,70.5931906963942
"107","96 ST","625",179.264367816092,30.4216954022989
"108","86 ST","626",115.478571428571,105.137301587302
"109","77 ST","627",90.3795146726862,81.551072234763
"110","68ST-HUNTER COL","628",85.1440476190476,55.2154761904762
"111","33 ST","632",58.5114176659732,43.7068957521875
"112","28 ST","633",53.2564888957403,53.8470793655556
"113","23 ST","634",42.2611275964392,37.8421735905045
"114","14 ST-UNION SQ","635",76.7334517345624,69.9394321418741
"115","ASTOR PLACE","636",54.6388896320148,54.328508313032
"116","SPRING ST","638",80.6326101065594,82.8352751475532
"117","CANAL ST","639",43.8928331520351,34.1150783594881
"118","BROOKLYN BRIDGE","640",48.7267002025559,47.1551259325505
"119","MAIN ST","701",87.7617283950617,72.7435185185185
"120","METS-WILLETS PT","702",10.2859128822984,8.98876274328082
"121","111 ST","705",88.67,57.9316666666667
"122","103 ST-CORONA","706",87.9814814814815,62.887037037037
"123","JUNCTION BLVD","707",70.1708333333333,58.5347222222222
"124","90 ST-ELMHURST","708",74.2185719253512,36.8053029439247
"125","82 ST-JACKSON H","709",63.1730769230769,73.438127090301
"126","74 ST-BROADWAY","710",27.1733333333333,37.84
"127","ROOSEVELT AVE","710",91.9959485342802,68.619450901867
"128","69 ST-FISK AVE","711",24.553125,24.8416666666667
"129","61 ST/WOODSIDE","712",55.2840277777778,57.85625
"130","52 ST-LINCOLN","713",44.8736111111111,42.6597222222222
"131","46 ST-BLISS ST","714",46.7886235955056,36.997191011236
"132","40 ST-LOWERY ST","715",67.0944444444444,60.0541666666667
"133","33 ST/RAWSON ST","716",41.1858333333333,32.3066666666667
"134","HUNTERS PT AVE","720",24.4766666666667,21.95
"135","VERNON/JACKSON","721",43.3384615384615,33.225641025641
"136","INWOOD-207 ST","A02",32.4068181818182,16.6015151515152
"137","DYCKMAN-200 ST","A03",87.3583333333333,2.11111111111111
"138","190 ST","A05",59.2361111111111,27.7555555555556
"139","181 ST","A06",70.5333333333333,57.8083333333333
"140","175 ST","A07",31.84375,17.1838541666667
"141","168 ST-BROADWAY","A09",47.3825,36.1483333333333
"142","145 ST","A12",87.9791149617565,89.1270824775941
"143","125 ST","A15",67.7435906663195,58.3884012055333
"144","59 ST-COLUMBUS","A24",46.5883047362216,41.6442849980864
"145","34 ST-PENN STA","A28",66.7000715958113,55.1964863292599
"146","14 ST","A31",71.2525,67.0666666666667
"147","W 4 ST-WASH SQ","A32",64.7517895153118,46.5533584129057
"148","CANAL ST","A34",40.930701754386,35.840350877193
"149","CHAMBERS ST","A36",58.8841414219603,29.9421097072915
"150","FULTON ST","A38",NA,NA
"151","HIGH ST","A40",58.6569444444444,67.1944444444444
"152","HOYT/SCHERMER","A42",75.5216666666667,70.9116666666667
"153","NOSTRAND AVE","A46",98.9702380952381,69.2857142857143
"154","UTICA AVE","A48",45.8679487179487,35.1602564102564
"155","BROADWAY-ENY","A51",43.0684303721966,39.3555553745098
"156","EUCLID AVE","A55",50.1892857142857,13.8964285714286
"157","GRANT AVE","A57",64.5729166666667,52.48125
"158","HUDSON-80 ST","A59",26.2321428571429,18.247619047619
"159","BOYD-88 ST","A60",72.1555555555556,15.4944444444444
"160","ROCKAWAY BLVD","A61",6.93645833333333,5.91354166666667
"161","ROOSEVELT IS","B06",38.5083333333333,34.9722222222222
"162","57 ST","B10",48.2076388888889,43.5888888888889
"163","9 AVE","B12",32.2023809523809,32.2357142857143
"164","FT HAMILTON PKY","B13",22.1380952380952,14.1892857142857
"165","50 ST","B14",40.1333333333333,40.5
"166","55 ST","B15",25.2222222222222,14.5055555555556
"167","71 ST","B17",37.765,17.7116666666667
"168","79 ST","B18",48.3683333333333,16.5583333333333
"169","18 AVE","B19",81.3,24.7416666666667
"170","20 AVE","B20",66.1305555555556,24.5777777777778
"171","BAY PARKWAY","B21",42.0357142857143,39.3678571428571
"172","25 AVE","B22",57.6166666666667,16.7305555555556
"173","BAY 50 ST","B23",34.6888888888889,8.48055555555556
"174","NORWOOD-205 ST","D01",40.11875,30.3020833333333
"175","BEDFORD PARK BL","D03",32.803125,20.40625
"176","KINGSBRIDGE RD","D04",24.4361111111111,18.1236111111111
"177","FORDHAM ROAD","D05",46.3641666666667,22.0683333333333
"178","182-183 ST","D06",62.5083333333333,22.8694444444444
"179","TREMONT AVE","D07",41.9157407407407,25.9574074074074
"180","174-175 ST","D08",22.0768518518519,7.86018518518518
"181","170 ST","D09",26.5899122807018,12.4780701754386
"182","167 ST","D10",47.4073739271735,20.307532651463
"183","161 ST-YANKEE","D11",20.148051213574,10.9812855834394
"184","155 ST","D12",51.6027777777778,26.7305555555556
"185","145 ST","D13",93.1387709734414,89.6592120476113
"186","7 AVE-53 ST","D14",63.8432302612016,76.4654647287591
"187","47-50 ST-ROCK","D15",58.6301674441276,63.8319851848514
"188","42 ST-BRYANT PK","D16",75.0254166666667,76.84375
"189","5 AVE-BRYANT PK","D16",43.438336959304,43.8315669772703
"190","34 ST-HERALD SQ","D17",59.1616007156173,58.0804828358304
"191","23 ST-6 AVE","D18",111.863888888889,96.0212962962963
"192","14 ST","D19",55.6454416283301,29.3971855535344
"193","14 ST-6 AVE","D19",39.8240402433434,43.6063335841954
"194","W 4 ST-WASH SQ","D20",65.9723067800004,48.5914312308714
"195","GRAND ST","D22",109.884976525822,87.325117370892
"196","BARCLAYS CENTER","D24",NA,NA
"197","7 AVE","D25",86.625,82.2542016806723
"198","CHURCH AVE","D28",48.4901551312649,49.0784606205251
"199","NEWKIRK PLAZA","D31",81.805,78.95
"200","KINGS HIGHWAY","D35",47.1078917467204,36.8328749612643
"201","SHEEPSHEAD BAY","D39",58.9753717472119,53.6059479553903
"202","BRIGHTON BEACH","D40",35.4303571428571,26.5196428571429
"203","OCEAN PARKWAY","D41",17.2523923444976,11.4354066985646
"204","W 8 ST-AQUARIUM","D42",15.1333333333333,14.6583333333333
"205","STILLWELL AVE","D43",39.09625,33.7066666666667
"206","WORLD TRADE CTR","E01",56.005303030303,30.2219696969697
"207","JAMAICA-179 ST","F01",36.0097222222222,14.7715277777778
"208","169 ST","F02",21.5255555555556,17.53
"209","PARSONS BLVD","F03",22.0090909090909,19.1621212121212
"210","SUTPHIN BLVD","F04",18.1291806020067,10.0196488294314
"211","VAN WYCK BLVD","F05",21.9427083333333,10.7489583333333
"212","UNION TPK-KEW G","F06",51.9325,52.2270833333333
"213","75 AVE","F07",17.6927793014188,1.89718448893848
"214","LEXINGTON-53 ST","F11",53.2817204301075,55.9029569892473
"215","5 AVE-53 ST","F12",46.4313492063492,50.9079365079365
"216","2 AVE","F14",64.5815512411963,65.0751530568725
"217","DELANCEY ST","F15",47.2388888888889,38.5916666666667
"218","EAST BROADWAY","F16",49.3237577639752,25.1271739130435
"219","YORK ST","F18",113.247222222222,83.9
"220","BERGEN ST","F20",29.6673076923077,18.2705128205128
"221","CARROLL ST","F21",34.9718844984802,15.5923252279635
"222","SMITH-9 ST","F22",30.7791666666667,35.2194444444444
"223","7 AV-PARK SLOPE","F24",45.3398148148148,10.137037037037
"224","15 ST-PROSPECT","F25",22.4158333333333,9.8775
"225","FT HAMILTON PKY","F26",28.3845238095238,8.69880952380952
"226","CHURCH AVE","F27",29.9387976947707,20.033651602663
"227","DITMAS AVE","F29",23.0777777777778,25.2583333333333
"228","18 AVE","F30",27.4200885668277,17.9583333333333
"229","AVE I","F31",15.4666666666667,15.7277777777778
"230","22 AVE-BAY PKY","F32",17.7027777777778,6.37777777777778
"231","AVE N","F33",17.5654761904762,11.4547619047619
"232","AVE P","F34",35.0638888888889,17.8333333333333
"233","KINGS HIGHWAY","F35",16.4166666666667,15.246875
"234","AVE U","F36",23.1666666666667,7.43541666666667
"235","AVE X","F38",21.9444444444444,15.7444444444444
"236","NEPTUNE AVE","F39",22.3333333333333,7.34722222222222
"237","JAMAICA CENTER","G05",81.3175403621002,60.2646429212028
"238","JAMAICA-VAN WYC","G07",28.2797619047619,29.1785714285714
"239","FOREST HILLS-71","G08",49.1625,21.9465909090909
