"","station","station_id","daily_entries","daily_exits"
"1","1 AVE","L06",1321.33400088266,1384.58166213431
"2","103 ST","119",757.560660723433,416.406039840007
"3","103 ST","624",849.535272793697,829.806264876917
"4","103 ST","A18",257.094368884988,244.549457289338
"5","103 ST-CORONA","706",611.515036231884,982.323550724638
"6","104 ST","J14",73.2909411989309,104.237504772814
"7","110 ST","623",592.933080724167,564.479506196771
"8","110 ST-CATHEDRL","118",841.376678831842,426.057078964416
"9","110 ST-CPN","227",439.256458088523,481.7736645613
"10","111 ST","705",330.051608406159,434.312881814399
"11","111 ST","J13",108.943193967163,100.236655211913
"12","116 ST","226",675.779395469885,330.598521347434
"13","116 ST","622",966.282674390304,535.80387667374
"14","116 ST","A16",405.289176990725,340.943438732165
"15","116 ST-COLUMBIA","117",1243.72395969999,423.724106158184
"16","121 ST","J12",98.5185882750316,88.9868747613593
"17","125 ST","116",422.903431012534,465.442090188014
"18","125 ST","225",942.844629432945,312.449427332851
"19","125 ST","621",1546.01441687589,1377.65880219707
"20","125 ST","A15",1542.38905777308,1308.54222618733
"21","135 ST","224",738.826355023502,278.288018997258
"22","135 ST","A14",335.205779038191,245.039928306707
"23","137 ST-CITY COL","115",804.180039508572,625.398489522131
"24","138 ST-3 AVE","619",391.432731665612,370.837208111121
"25","138 ST-GR CONC","416",165.618431746964,144.834971112417
"26","14 ST","A31",1525.00658372984,984.711402987047
"27","14 ST-6 AVE","132",2825.83944868782,1978.28495642382
"28","14 ST-UNION SQ","635",7657.98108895686,5994.16879334869
"29","145 ST","114",444.082756417025,496.336862660554
"30","145 ST","302",147.354949454285,8.64708020218286
"31","145 ST","A12",1122.6225144653,1397.06858019796
"32","148 ST-LENOX","301",164.867267675284,231.793546807677
"33","149 ST-3 AVE","221",1175.78278618292,540.51044237172
"34","149 ST-GR CONC","222",854.715444181662,399.180125640452
"35","15 ST-PROSPECT","F25",291.82378036447,176.561849581228
"36","155 ST","A11",123.049319495491,141.564652033981
"37","155 ST","D12",195.730614329627,127.34940177188
"38","157 ST","113",551.366914262329,479.692713321056
"39","161 ST-YANKEE","414",1257.38322658498,811.748162071846
"40","163 ST-AMSTERDM","A10",196.562844189599,97.2469929031333
"41","167 ST","413",384.914261408147,614.573171269095
"42","167 ST","D10",382.459203018439,263.612216270524
"43","168 ST-BROADWAY","112",1432.71602822432,797.354501572118
"44","168 ST-BROADWAY","A09",0,0
"45","169 ST","F02",383.064369124559,482.822327898551
"46","170 ST","412",386.210972385429,384.835830395613
"47","170 ST","D09",311.227195258445,230.810888956722
"48","174 ST","215",329.926336097803,343.959323495736
"49","174-175 ST","D08",230.753689916512,112.265787972109
"50","175 ST","A07",505.74427923165,479.163940288425
"51","176 ST","410",244.81241431649,185.791309244027
"52","18 AVE","B19",192.937896535435,140.394869211579
"53","18 AVE","F30",168.183237857423,193.376945015668
"54","18 AVE","N05",248.767762874786,369.719351122255
"55","18 ST","131",587.830203437133,262.401706325891
"56","181 ST","111",571.02267675284,746.932381022327
"57","181 ST","A06",506.893726870209,647.591032249537
"58","182-183 ST","D06",193.380575622062,108.106609797915
"59","183 ST","408",238.695808832264,213.179259473747
"60","190 ST","A05",157.397675565368,124.895650556812
"61","191 ST","110",377.073059278541,570.586710480973
"62","2 AVE","F14",936.189219790443,1059.33379847239
"63","20 AVE","B20",152.830050371545,140.821671512909
"64","20 AVE","N06",193.238022072429,151.704905167856
"65","207 ST","108",300.292986788018,178.755197564368
"66","21 ST","B04",432.377164182037,393.697681821316
"67","215 ST","107",107.700466363102,48.6893666764591
"68","219 ST","207",138.878782126608,101.807271987707
"69","22 AVE-BAY PKY","F32",74.1847579830673,35.0506760522978
"70","225 ST","206",196.657371983187,132.551843419506
"71","23 ST","130",1123.11479736724,800.817101612482
"72","23 ST","634",2136.55636826207,1404.41489405375
"73","23 ST","A30",1654.59012394631,842.190844274092
"74","23 ST-5 AVE","R19",1811.54577862954,541.468920169178
"75","23 ST-6 AVE","D18",1866.51169702311,1090.98207500979
"76","231 ST","104",381.038968628057,97.0137659302024
"77","233 ST","205",242.430964513845,128.35998203471
"78","238 ST","103",151.617644211938,6.43094605893519
"79","242 ST","101",257.177710047004,199.521589796318
"80","25 AVE","B22",186.843571019473,102.756092497136
"81","25 ST","R35",171.2171534937,185.860058889183
"82","28 ST","129",1213.53023915771,592.748738439277
"83","28 ST","633",1737.08618405194,1300.66427449607
"84","28 ST-BROADWAY","R18",913.541359738009,655.051944371016
"85","3 AVE","L05",497.034255587864,365.660073574764
"86","33 ST","632",2370.16184259092,1449.76921174937
"87","33 ST/RAWSON ST","716",1006.19220280063,274.425350078339
"88","34 ST-HERALD SQ","D17",7613.07854363086,5343.55147222957
"89","34 ST-PENN STA","128",4148.81312181747,4669.00289365452
"90","34 ST-PENN STA","A28",6125.90883337739,6695.30748964667
"91","36 ST","G20",368.978677206196,154.320366060322
"92","36 ST","R36",775.068017005904,480.883919838752
"93","4 AVE","F23",242.203029524089,370.92303907168
"94","40 ST-LOWERY ST","715",468.083734821778,573.47526561888
"95","42 ST-BRYANT PK","D16",3058.31000905797,1347.05012607716
"96","42 ST-GRD CNTRL","631",9175.65911182922,6160.98472385429
"97","42 ST-PA BUS TE","A27",3921.7277733721,4414.52904000352
"98","42 ST-TIMES SQ","127",6175.58781390431,3899.48003568596
"99","45 ST","R39",279.023013040797,293.443032425764
"100","46 ST","G18",433.819269416419,523.374148467679
"101","46 ST-BLISS ST","714",543.521304396184,704.157201343856
"102","47-50 ST-ROCK","D15",5032.38098438112,1778.51129798277
"103","49 ST-7 AVE","R15",1796.58644520809,926.989306693688
"104","5 AVE-53 ST","F12",2083.32061403509,1203.82603963613
"105","5 AVE-59 ST","R13",1423.42879328575,727.973143008195
"106","5 AVE-BRYANT PK","724",981.68789407314,367.465113893393
"107","50 ST","126",1916.30929943804,986.448827350928
"108","50 ST","A25",1324.03829632567,734.077231474139
"109","50 ST","B14",161.340135881198,164.340502339725
"110","51 ST","630",1651.86792894414,828.056220585226
"111","52 ST-LINCOLN","713",304.738316669669,450.516833803719
"112","53 ST","R40",304.952191823068,193.062024554293
"113","55 ST","B15",98.7401613945428,63.20644256469
"114","57 ST","B10",1271.28159277417,626.152266357032
"115","57 ST-7 AVE","R14",1783.23328927659,524.362678062678
"116","59 ST","629",528.334729787579,439.258629304873
"117","59 ST","R41",3949.4365083561,2301.20513481364
"118","59 ST-COLUMBUS","125",5049.39804270111,2472.74096004289
"119","6 AVE","L02",393.379600992745,114.186359297442
"120","61 ST/WOODSIDE","712",725.086630171141,1241.78769264666
"121","63 DR-REGO PARK","G10",684.809042058363,472.443333822953
"122","65 ST","G15",167.707265805182,194.254559386358
"123","66 ST-LINCOLN","124",1730.28111121155,1343.86602036819
"124","67 AVE","G09",306.907426312182,319.047632687035
"125","68ST-HUNTER COL","628",2681.42577830757,1137.02090244509
"126","69 ST-FISK AVE","711",229.995819397993,316.345944816054
"127","7 AV-PARK SLOPE","F24",642.599215101389,173.282896441592
"128","7 AVE","D25",469.980072032778,658.554386950392
"129","7 AVE-53 ST","D14",1402.84130121422,914.732339216988
"130","71 ST","B17",122.670187041678,148.607407407407
"131","72 ST","123",2347.22579318449,2286.16133809395
"132","72 ST","A22",551.291122565865,432.064257496989
"133","75 AVE","F07",125.759319917744,24.1460071484528
"134","77 ST","627",2384.54841720902,2032.56540099882
"135","77 ST","R43",175.045736041355,160.716347255265
"136","79 ST","122",1095.65549692669,567.483708834252
"137","79 ST","B18",207.113161507462,140.515792037554
"138","8 AVE","L01",1698.22819631686,1020.1645811305
"139","8 AVE","N02",696.56646345493,808.004554366024
"140","8 ST-B'WAY NYU","R21",1125.36586630246,701.920918876847
"141","81 ST-MUSEUM","A21",1014.03749449291,742.523417812142
