"","station","station_id","daily_entries","daily_exits"
"1","1 AVE","L06",1076.74002449631,1143.69697367884
"2","103 ST","119",607.222897929284,294.140407307391
"3","103 ST","624",652.648492252704,631.021375681702
"4","103 ST","A18",217.396936623303,172.265362180663
"5","103 ST-CORONA","706",856.150761359185,696.942631218175
"6","104 ST","J14",103.026239830235,72.6305045231592
"7","110 ST","623",570.545369190912,450.72398733262
"8","110 ST-CATHEDRL","118",623.913114190696,323.463449392118
"9","110 ST-CPN","227",427.572308313748,381.925294384058
"10","111 ST","705",476.477691864221,322.550317518617
"11","111 ST","J13",116.425656812641,72.6792250418539
"12","116 ST","226",550.630238275483,239.268179592636
"13","116 ST","622",754.582543618967,412.16229257698
"14","116 ST","A16",325.596048976462,249.402776067113
"15","116 ST-COLUMBIA","117",773.409502372518,347.633449475489
"16","121 ST","J12",106.507584735806,65.4160869533292
"17","125 ST","116",358.923364056992,367.232523012143
"18","125 ST","225",665.703846248004,248.270884837597
"19","125 ST","621",1180.95450573524,1096.61971641385
"20","125 ST","A15",1286.1564946985,1056.69547206802
"21","135 ST","224",688.864979313553,228.41991039953
"22","135 ST","A14",254.76934140913,197.05046243514
"23","137 ST-CITY COL","115",649.235064799331,471.105325842147
"24","138 ST-3 AVE","619",359.244206853174,271.806826245141
"25","138 ST-GR CONC","416",151.002684341951,132.796089159812
"26","14 ST","A31",985.257565369196,816.775573288396
"27","14 ST-6 AVE","132",2083.90666128085,1782.81792866236
"28","14 ST-UNION SQ","635",5128.33306584595,4367.84208898204
"29","145 ST","114",444.24153243883,365.298643335761
"30","145 ST","302",162.948294595924,6.82399177559202
"31","145 ST","A12",1069.20441962581,1071.82296531266
"32","148 ST-LENOX","301",179.143543747552,171.414791421857
"33","149 ST-3 AVE","221",1065.37337507344,440.44058154622
"34","149 ST-GR CONC","222",647.191905037514,370.226351994015
"35","15 ST-PROSPECT","F25",265.036214506559,111.988357223046
"36","155 ST","A11",116.32762500067,105.664390276378
"37","155 ST","D12",180.756315936744,93.7845693069925
"38","157 ST","113",485.978786801494,359.914122228293
"39","161 ST-YANKEE","414",1031.66420101179,552.026054720134
"40","163 ST-AMSTERDM","A10",193.932079989536,73.7958648726192
"41","167 ST","413",431.653232064254,446.535389041929
"42","167 ST","D10",436.10657519343,200.686809889648
"43","168 ST-BROADWAY","112",1103.95117650532,807.924045657854
"44","168 ST-BROADWAY","A09",0,0
"45","169 ST","F02",398.823175553271,342.580983769095
"46","170 ST","412",410.14580150803,292.503951233843
"47","170 ST","D09",310.081360787117,169.754567285379
"48","174 ST","215",296.208663544397,255.573580666787
"49","174-175 ST","D08",230.218511624923,88.7879378457036
"50","175 ST","A07",562.253122521808,332.780047067289
