,entry_exits_period,station.x,rounded_scaled_exits,new_rounded_hourly_entries,station_id
1,16:20,"168 St - Washington Hts"112,1312,2254,112
2,16:20,"Van Siclen Av"256,106,124,256
3,16:20,"103 St"119,607,756,119
4,16:20,"116 St - Columbia University"117,519,1432,117
5,16:20,"96 St"120,3509,2358,120
6,16:20,"Cathedral Pkwy"118,614,930,118
7,16:20,"157 St"113,710,578,113
8,16:20,"New Lots Av"257,528,300,257
9,16:20,"145 St"114,889,528,114
10,16:20,"Woodlawn"401,301,386,401
11,16:20,"86 St"121,1790,1347,121
12,16:20,"176 St"410,333,307,410
13,16:20,"183 St"408,408,277,408
14,16:20,"Kingsbridge Rd"406,536,571,406
15,16:20,"137 St - City College"115,908,848,115
16,16:20,"Mosholu Pkwy"402,251,585,402
17,16:20,"79 St"122,804,1192,122
18,16:20,"Mt Eden Av"411,447,297,411
19,16:20,"Burnside Av"409,715,620,409
20,16:20,"Fordham Rd"407,274,701,407
21,16:20,"125 St"116,846,566,116
22,16:20,"Bedford Park Blvd - Lehman College"405,471,388,405
23,16:20,"72 St"123,3237,2517,123
24,16:20,"170 St"412,747,476,412
25,16:20,"145 St"302,15,184,302
26,16:20,"Park Pl"228,154,509,228
27,16:20,"Junius St"254,112,139,254
28,16:20,"Atlantic Av - Barclays Ctr"235,5268,2861,235
29,16:20,"66 St - Lincoln Center"124,1829,2049,124
30,16:20,"167 St"413,1223,465,413
31,16:20,"Nostrand Av"248,468,253,248
32,16:20,"Fulton St"229,3577,7258,229
33,16:20,"Pennsylvania Av"255,158,299,255
34,16:20,"Bergen St"236,410,191,236
35,16:20,"59 St - Columbus Circle"125,4355,7496,125
36,16:20,"161 St - Yankee Stadium"414,1162,1503,414
37,16:20,"Kingston Av"249,467,272,249
38,16:20,"Wall St"230,1050,3947,230
39,16:20,"14 St"A31,1251,1759,A31
40,16:20,"Grand Army Plaza"237,454,453,237
41,16:20,"50 St"126,1822,3175,126
42,16:20,"138 St - Grand Concourse"416,259,241,416
43,16:20,"Crown Hts - Utica Av"250,2813,1089,250
44,16:20,"Clark St"231,405,393,231
45,16:20,"34 St - Penn Station"A28,14863,8629,A28
46,16:20,"Eastern Pkwy - Brooklyn Museum"238,561,293,238
47,16:20,"Times Sq - 42 St"127,7548,9687,127
48,16:20,"125 St"621,2030,1733,621
49,16:20,"Sutter Av - Rutland Rd"251,549,334,251
50,16:20,"Borough Hall"232,2137,3353,232
51,16:20,"42 St - Port Authority Bus Terminal"A27,9418,5129,A27
52,16:20,"Franklin Av"239,1035,582,239
53,16:20,"34 St - Penn Station"128,9952,5397,128
54,16:20,"86 St"626,6355,4968,626
55,16:20,"Saratoga Av"252,437,261,252
56,16:20,"Hoyt St"233,502,787,233
57,16:20,"125 St"A15,2474,2147,A15
58,16:20,"President St"241,563,218,241
59,16:20,"28 St"129,766,1308,129
60,16:20,"59 St"629,839,788,629
61,16:20,"Rockaway Av"253,661,265,253
62,16:20,"Nevins St"234,919,995,234
63,16:20,"145 St"A12,2628,1456,A12
64,16:20,"Sterling St"242,514,253,242
65,16:20,"23 St"130,1086,1220,130
66,16:20,"Grand Central - 42 St"631,11268,14303,631
67,16:20,"Chambers St"137,1341,2610,137
68,16:20,"Gun Hill Rd"503,946,661,503
69,16:20,"168 St"A09,0,0,A09
70,16:20,"Winthrop St"243,139,523,243
71,16:20,"18 St"131,514,878,131
72,16:20,"14 St - Union Sq"635,8073,8396,635
73,16:20,"Rector St"139,580,1142,139
74,16:20,"Pelham Pkwy"504,615,726,504
75,16:20,"175 St"A07,982,694,A07
76,16:20,"Church Av"244,255,458,244
77,16:20,"14 St"132,3949,4502,132
78,16:20,"Brooklyn Bridge - City Hall"640,1091,2457,640
79,16:20,"South Ferry Loop"140,1143,954,140
80,16:20,"Morris Park"505,270,77,505
81,16:20,"181 St"A06,942,503,A06
82,16:20,"Beverly Rd"245,111,154,245
83,16:20,"Christopher St - Sheridan Sq"133,1339,1090,133
84,16:20,"Wall St"419,1004,2219,419
85,16:20,"Wakefield - 241 St"201,502,266,201
86,16:20,"Canal St"639,2501,3937,639
87,16:20,"190 St"A05,226,206,A05
88,16:20,"Newkirk Av"246,577,312,246
89,16:20,"Houston St"134,680,1413,134
90,16:20,"Bowling Green"420,1943,3831,420
91,16:20,"Nereid Av"204,156,176,204
92,16:20,"Spring St"638,1262,1127,638
93,16:20,"Dyckman St"A03,16,308,A03
94,16:20,"Flatbush Av - Brooklyn College"247,1301,933,247
95,16:20,"Canal St"135,435,591,135
96,16:20,"Eastchester - Dyre Av"501,494,207,501
97,16:20,"233 St"205,196,263,205
98,16:20,"Bleecker St"637,685,1217,637
99,16:20,"Inwood - 207 St"A02,493,411,A02
100,16:20,"Harlem - 148 St"301,458,213,301
101,16:20,"Franklin St"136,257,492,136
102,16:20,"Baychester Av"502,40,212,502
103,16:20,"225 St"206,206,210,206
104,16:20,"Astor Pl"636,1731,1114,636
105,16:20,"Bedford Park Blvd"D03,466,317,D03
106,16:20,"Van Cortlandt Park - 242 St"101,417,337,101
107,16:20,"5 Av/53 St"F12,1504,2766,F12
108,16:20,"Rockaway Av"A50,327,259,A50
109,16:20,"219 St"207,158,146,207
110,16:20,"23 St"634,1828,2387,634
111,16:20,"Kingsbridge Rd"D04,629,340,D04
112,16:20,"238 St"103,9,155,103
113,16:20,"Lexington Av/53 St"F11,2624,5936,F11
114,16:20,"Liberty Av"A52,128,156,A52
115,16:20,"Gun Hill Rd"208,946,661,208
116,16:20,"28 St"633,1644,1942,633
117,16:20,"Fordham Rd"D05,748,736,D05
118,16:20,"231 St"104,201,496,104
119,16:20,"Queens Plaza"G21,581,1017,G21
120,16:20,"Van Siclen Av"A53,318,135,A53
121,16:20,"Burke Av"209,141,143,209
122,16:20,"33 St"632,1915,2602,632
123,16:20,"182-183 Sts"D06,196,225,D06
124,16:20,"Marble Hill - 225 St"106,196,338,106
125,16:20,"Jackson Hts - Roosevelt Av"G14,0,0,G14
126,16:20,"Shepherd Av"A54,188,139,A54
127,16:20,"Allerton Av"210,239,278,210
128,16:20,"51 St"630,1429,2730,630
129,16:20,"Tremont Av"D07,583,409,D07
130,16:20,"215 St"107,84,135,107
131,16:20,"Forest Hills - 71 Av"G08,1369,1358,G08
132,16:20,"Coney Island - Stillwell Av"D43,1284,768,D43
133,16:20,"Pelham Pkwy"211,615,726,211
134,16:20,"68 St - Hunter College"628,1420,3221,628
135,16:20,"174-175 Sts"D08,219,311,D08
136,16:20,"207 St"108,348,391,108
137,16:20,"Kew Gardens - Union Tpke"F06,3010,1425,F06
138,16:20,"Bay 50 St"B23,61,134,B23
139,16:20,"Bronx Park East"212,119,139,212
140,16:20,"77 St"627,2751,2807,627
141,16:20,"170 St"D09,357,348,D09
142,16:20,"Dyckman St"109,372,380,109
143,16:20,"Jamaica - Van Wyck"G07,537,283,G07
144,16:20,"25 Av"B22,154,197,B22
145,16:20,"E 180 St"213,638,359,213
146,16:20,"96 St"625,436,1975,625
147,16:20,"167 St"D10,540,458,D10
148,16:20,"191 St"110,1081,469,110
149,16:20,"Sutphin Blvd - Archer Av - JFK Airport"G06,2310,1273,G06
150,16:20,"Bay Pkwy"B21,778,312,B21
151,16:20,"West Farms Sq - E Tremont Av"214,547,489,214
152,16:20,"103 St"624,1242,1029,624
153,16:20,"155 St"D12,198,213,D12
154,16:20,"181 St"111,1402,720,111
155,16:20,"Jamaica Center - Parsons/Archer"G05,4613,2465,G05
156,16:20,"20 Av"B20,310,179,B20
157,16:20,"174 St"215,536,381,215
158,16:20,"110 St"623,1051,795,623
159,16:20,"135 St"A14,360,368,A14
160,16:20,"East Broadway"F16,652,1089,F16
161,16:20,"W 8 St - NY Aquarium"D42,117,121,D42
162,16:20,"18 Av"B19,301,242,B19
163,16:20,"Freeman St"216,373,250,216
164,16:20,"116 St"622,806,1076,622
165,16:20,"116 St"A16,503,435,A16
166,16:20,"Delancey St"F15,1168,1010,F15
167,16:20,"Neptune Av"F39,52,97,F39
168,16:20,"79 St"B18,293,218,B18
169,16:20,"Simpson St"217,171,593,217
170,16:20,"3 Av - 138 St"619,577,444,619
171,16:20,"Cathedral Pkwy (110 St)"A17,414,425,A17
172,16:20,"2 Av"F14,2007,1172,F14
173,16:20,"Avenue X"F38,222,131,F38
174,16:20,"71 St"B17,315,145,B17
175,16:20,"Intervale Av"218,309,231,218
176,16:20,"Brook Av"618,495,361,618
177,16:20,"103 St"A18,363,259,A18
178,16:20,"23 St"D18,2048,2876,D18
179,16:20,"Avenue U"F36,82,110,F36
180,16:20,"62 St"B16,479,298,B16
181,16:20,"Prospect Av"219,220,487,219
182,16:20,"Cypress Av"617,193,270,617
183,16:20,"96 St"A19,811,904,A19
184,16:20,"57 St"B10,746,1418,B10
185,16:20,"Kings Hwy"F35,373,186,F35
186,16:20,"55 St"B15,121,139,B15
187,16:20,"Jackson Av"220,120,322,220
188,16:20,"E 143 St - St Mary's St"616,80,76,616
189,16:20,"86 St"A20,522,960,A20
190,16:20,"Lexington Av/63 St"B08,940,1533,B08
191,16:20,"Avenue P"F34,199,116,F34
192,16:20,"50 St"B14,321,236,B14
193,16:20,"3 Av - 149 St"221,994,1503,221
194,16:20,"E 149 St"615,388,240,615
195,16:20,"81 St - Museum of Natural History"A21,960,1227,A21
196,16:20,"Roosevelt Island"B06,638,328,B06
197,16:20,"Avenue N"F33,223,157,F33
198,16:20,"Fort Hamilton Pkwy"B13,265,247,B13
199,16:20,"149 St - Grand Concourse"222,675,1104,222
200,16:20,"Longwood Av"614,256,217,614
201,16:20,"72 St"A22,817,845,A22
202,16:20,"21 St - Queensbridge"B04,718,656,B04
203,16:20,"Bay Pkwy"F32,51,83,F32
204,16:20,"9 Av"B12,593,233,B12
205,16:20,"135 St"224,491,1002,224
206,16:20,"Hunts Point Av"613,766,544,613
207,16:20,"7 Av"D14,1139,1603,D14
208,16:20,"75 Av"F07,41,166,F07
209,16:20,"Avenue I"F31,136,110,F31
210,16:20,"36 St"R36,701,857,R36
211,16:20,"125 St"225,448,1058,225
212,16:20,"Whitlock Av"612,199,85,612
213,16:20,"47-50 Sts - Rockefeller Ctr"D15,2743,9163,D15
214,16:20,"Briarwood - Van Wyck Blvd"F05,320,164,F05
215,16:20,"18 Av"F30,391,232,F30
216,16:20,"Norwood - 205 St"D01,665,377,D01
217,16:20,"116 St"226,496,720,226
218,16:20,"Elder Av"611,644,296,611
219,16:20,"42 St - Bryant Pk"D16,2386,5292,D16
220,16:20,"Sutphin Blvd"F04,278,243,F04
221,16:20,"Ditmas Av"F29,314,211,F29
222,16:20,"World Trade Center"E01,585,1619,E01
223,16:20,"Central Park North (110 St)"227,872,609,227
224,16:20,"Morrison Av- Sound View"610,696,243,610
225,16:20,"34 St - Herald Sq"D17,10809,11979,D17
226,16:20,"Parsons Blvd"F03,750,313,F03
227,16:20,"Church Av"F27,890,459,F27
228,16:20,"Broadway Jct"A51,1033,492,A51
229,16:20,"Junction Blvd"707,2693,810,707
230,16:20,"St Lawrence Av"609,491,145,609
231,16:20,"Broadway-Lafayette St"D21,2595,2139,D21
232,16:20,"169 St"F02,1027,466,F02
233,16:20,"Fort Hamilton Pkwy"F26,195,235,F26
234,16:20,"Utica Av"A48,1187,739,A48
235,16:20,"103 St - Corona Plaza"706,2014,741,706
236,16:20,"Parkchester"608,1930,644,608
237,16:20,"Grand St"D22,1302,2214,D22
238,16:20,"Jamaica - 179 St"F01,1391,702,F01
239,16:20,"15 St - Prospect Park"F25,273,277,F25
240,16:20,"Nostrand Av"A46,1373,951,A46
241,16:20,"111 St"705,831,406,705
242,16:20,"Castle Hill Av"607,961,302,607
243,16:20,"DeKalb Av"R30,757,1435,R30
244,16:20,"Botanic Garden"S04,174,146,S04
245,16:20,"7 Av"F24,235,684,F24
246,16:20,"Hoyt - Schermerhorn Sts"A42,731,914,A42
247,16:20,"Mets - Willets Point"702,339,214,702
248,16:20,"Westchester Sq - E Tremont Av"604,640,476,604
249,16:20,"7 Av"D25,908,439,D25
250,16:20,"Park Pl"S03,204,109,S03
251,16:20,"4 Av"F23,730,364,F23
252,16:20,"Jay St - MetroTech"A41,1618,4566,A41
253,16:20,"Flushing - Main St"701,6375,3097,701
254,16:20,"Middletown Rd"603,398,127,603
255,16:20,"Prospect Park"D26,1168,448,D26
256,16:20,"21 St"G24,93,125,G24
257,16:20,"Smith - 9 Sts"F22,513,380,F22
258,16:20,"High St"A40,934,702,A40
259,16:20,"Far Rockaway - Mott Av"H11,570,277,H11
260,16:20,"Pelham Bay Park"601,512,321,601
261,16:20,"Church Av"D28,2412,724,D28
262,16:20,"Greenpoint Av"G26,737,613,G26
263,16:20,"Carroll St"F21,571,749,F21
264,16:20,"Chambers St"A36,1219,4488,A36
265,16:20,"Beach 25 St"H10,253,61,H10
266,16:20,"5 Av"724,637,1706,724
267,16:20,"Newkirk Plaza"D31,1114,458,D31
268,16:20,"Nassau Av"G28,610,541,G28
269,16:20,"Bergen St"F20,667,658,F20
270,16:20,"Canal St"A34,1028,2487,A34
271,16:20,"Beach 36 St"H09,131,31,H09
272,16:20,"Vernon Blvd - Jackson Av"721,1391,770,721
273,16:20,"Kings Hwy"D35,2397,964,D35
274,16:20,"Metropolitan Av"G29,467,442,G29
275,16:20,"York St"F18,468,707,F18
276,16:20,"W 4 St"A32,3567,2847,A32
277,16:20,"Beach 44 St"H08,86,26,H08
278,16:20,"Hunters Point Av"720,490,459,720
