,entry_exits_period,station.x,rounded_scaled_exits,new_rounded_hourly_entries,station_id
1,8:12,"137 St - City College"115,506,975,115
2,8:12,"125 St"116,479,550,116
3,8:12,"168 St - Washington Hts"112,2069,1408,112
4,8:12,"149 St - Grand Concourse"222,784,699,222
5,8:12,"Jackson Av"220,69,445,220
6,8:12,"103 St"119,269,940,119
7,8:12,"116 St - Columbia University"117,785,395,117
8,8:12,"Freeman St"216,155,397,216
9,8:12,"157 St"113,274,830,113
10,8:12,"135 St"224,332,1218,224
11,8:12,"3 Av - 149 St"221,747,1703,221
12,8:12,"96 St"120,2159,2624,120
13,8:12,"Cathedral Pkwy"118,434,765,118
14,8:12,"Simpson St"217,73,715,217
15,8:12,"145 St"114,307,827,114
16,8:12,"125 St"225,414,662,225
17,8:12,"72 St"123,1943,2033,123
18,8:12,"86 St"121,1221,1188,121
19,8:12,"Van Cortlandt Park - 242 St"101,132,591,101
20,8:12,"Intervale Av"218,203,236,218
21,8:12,"Park Pl"228,566,100,228
22,8:12,"116 St"226,261,836,226
23,8:12,"66 St - Lincoln Center"124,1976,811,124
24,8:12,"79 St"122,541,871,122
25,8:12,"238 St"103,5,408,103
26,8:12,"Prospect Av"219,106,557,219
27,8:12,"Fulton St"229,8603,2018,229
28,8:12,"Central Park North (110 St)"227,511,810,227
29,8:12,"59 St - Columbus Circle"125,7021,2486,125
30,8:12,"14 St"132,4488,2020,132
31,8:12,"231 St"104,65,789,104
32,8:12,"South Ferry Loop"140,906,911,140
33,8:12,"Wall St"230,4943,740,230
34,8:12,"Burke Av"209,40,342,209
35,8:12,"50 St"126,3636,718,126
36,8:12,"Christopher St - Sheridan Sq"133,1312,631,133
37,8:12,"Marble Hill - 225 St"106,63,427,106
38,8:12,"Wakefield - 241 St"201,246,414,201
39,8:12,"Clark St"231,203,545,231
40,8:12,"Allerton Av"210,109,477,210
41,8:12,"Times Sq - 42 St"127,10073,2978,127
42,8:12,"Houston St"134,1025,318,134
43,8:12,"215 St"107,61,141,107
44,8:12,"Nereid Av"204,70,325,204
45,8:12,"Borough Hall"232,2863,2248,232
46,8:12,"Pelham Pkwy"211,327,993,211
47,8:12,"34 St - Penn Station"128,4110,8004,128
48,8:12,"Canal St"135,618,119,135
49,8:12,"207 St"108,150,475,108
50,8:12,"233 St"205,75,478,205
51,8:12,"Hoyt St"233,769,287,233
52,8:12,"Bronx Park East"212,60,256,212
53,8:12,"28 St"129,965,396,129
54,8:12,"Franklin St"136,308,182,136
55,8:12,"Dyckman St"109,179,555,109
56,8:12,"225 St"206,72,401,206
57,8:12,"Nevins St"234,1049,557,234
58,8:12,"E 180 St"213,227,660,213
59,8:12,"23 St"130,1001,482,130
60,8:12,"Chambers St"137,2636,821,137
61,8:12,"191 St"110,467,683,110
62,8:12,"219 St"207,70,320,207
63,8:12,"Atlantic Av - Barclays Ctr"235,2525,2864,235
64,8:12,"West Farms Sq - E Tremont Av"214,370,565,214
65,8:12,"18 St"131,592,373,131
66,8:12,"Rector St"139,1068,651,139
67,8:12,"181 St"111,630,854,111
68,8:12,"Gun Hill Rd"208,557,1032,208
69,8:12,"Bergen St"236,161,431,236
70,8:12,"174 St"215,283,494,215
71,8:12,"110 St"623,608,1064,623
72,8:12,"135 St"A14,332,366,A14
73,8:12,"14 St"A31,1767,495,A31
