,entry_exits_period,station.x,rounded_scaled_exits,new_rounded_hourly_entries,station_id
1,4:8,"Nereid Av"204,29,153,204
2,4:8,"South Ferry Loop"140,184,246,140
3,4:8,"233 St"205,36,209,205
4,4:8,"Wakefield - 241 St"201,150,191,201
5,4:8,"225 St"206,44,171,206
6,4:8,"72 St"123,657,332,123
7,4:8,"86 St"121,367,202,121
8,4:8,"103 St"119,93,176,119
9,4:8,"Chambers St"137,1051,129,137
10,4:8,"116 St - Columbia University"117,139,63,117
11,4:8,"219 St"207,43,143,207
12,4:8,"66 St - Lincoln Center"124,613,126,124
13,4:8,"79 St"122,173,134,122
14,4:8,"96 St"120,852,486,120
15,4:8,"Rector St"139,264,102,139
16,4:8,"Cathedral Pkwy"118,165,140,118
17,4:8,"Gun Hill Rd"208,264,668,208
18,4:8,"59 St - Columbus Circle"125,2361,429,125
19,4:8,"14 St"132,1323,368,132
20,4:8,"168 St - Washington Hts"112,848,548,112
21,4:8,"135 St"A14,146,87,A14
22,4:8,"14 St"A31,555,139,A31
23,4:8,"Burke Av"209,23,150,209
24,4:8,"50 St"126,1153,121,126
25,4:8,"Christopher St - Sheridan Sq"133,290,110,133
26,4:8,"157 St"113,172,264,113
27,4:8,"116 St"A16,133,110,A16
28,4:8,"34 St - Penn Station"A28,2583,2335,A28
29,4:8,"Allerton Av"210,50,192,210
30,4:8,"Times Sq - 42 St"127,2622,890,127
31,4:8,"Houston St"134,223,48,134
32,4:8,"145 St"114,156,346,114
33,4:8,"Cathedral Pkwy (110 St)"A17,114,120,A17
34,4:8,"42 St - Port Authority Bus Terminal"A27,1427,2727,A27
35,4:8,"Pelham Pkwy"211,139,387,211
36,4:8,"34 St - Penn Station"128,992,1157,128
37,4:8,"Canal St"135,100,21,135
38,4:8,"137 St - City College"115,228,268,115
39,4:8,"103 St"A18,60,82,A18
40,4:8,"125 St"A15,862,594,A15
41,4:8,"Bronx Park East"212,31,104,212
42,4:8,"28 St"129,195,67,129
43,4:8,"Franklin St"136,73,33,136
44,4:8,"125 St"116,310,175,116
45,4:8,"96 St"A19,279,143,A19
46,4:8,"145 St"A12,524,716,A12
47,4:8,"E 180 St"213,131,290,213
48,4:8,"23 St"130,246,80,130
49,4:8,"Jackson Av"220,33,161,220
50,4:8,"E 143 St - St Mary's St"616,47,21,616
