,entry_exits_period,station.x,rounded_scaled_exits,new_rounded_hourly_entries,station_id
1,20:0,"145 St"302,7,76,302
2,20:0,"Junius St"254,49,55,254
3,20:0,"Kingsbridge Rd"406,493,419,406
4,20:0,"Nostrand Av"248,326,122,248
5,20:0,"Pennsylvania Av"255,81,116,255
6,20:0,"Fordham Rd"407,133,355,407
7,20:0,"Kingston Av"249,309,106,249
8,20:0,"168 St - Washington Hts"112,665,728,112
9,20:0,"Van Siclen Av"256,53,60,256
10,20:0,"Grand Army Plaza"237,266,177,237
11,20:0,"183 St"408,212,142,408
12,20:0,"Beverly Rd"245,60,83,245
13,20:0,"Crown Hts - Utica Av"250,1489,547,250
14,20:0,"157 St"113,743,463,113
15,20:0,"New Lots Av"257,271,132,257
16,20:0,"Eastern Pkwy - Brooklyn Museum"238,364,110,238
17,20:0,"Burnside Av"409,371,296,409
18,20:0,"Newkirk Av"246,596,230,246
19,20:0,"Sutter Av - Rutland Rd"251,302,171,251
20,20:0,"145 St"114,590,264,114
21,20:0,"Woodlawn"401,151,171,401
22,20:0,"Franklin Av"239,740,310,239
23,20:0,"176 St"410,188,122,410
24,20:0,"Flatbush Av - Brooklyn College"247,1364,745,247
25,20:0,"Saratoga Av"252,169,103,252
26,20:0,"137 St - City College"115,871,750,115
27,20:0,"Mosholu Pkwy"402,221,428,402
28,20:0,"President St"241,276,93,241
29,20:0,"Mt Eden Av"411,242,122,411
30,20:0,"Harlem - 148 St"301,251,74,301
31,20:0,"Rockaway Av"253,330,118,253
32,20:0,"125 St"116,500,258,116
33,20:0,"Bedford Park Blvd - Lehman College"405,212,158,405
34,20:0,"Sterling St"242,280,107,242
35,20:0,"170 St"412,334,203,412
36,20:0,"Van Cortlandt Park - 242 St"101,210,126,101
37,20:0,"Park Pl"228,52,135,228
38,20:0,"116 St - Columbia University"117,393,1538,117
39,20:0,"219 St"207,163,111,207
40,20:0,"Winthrop St"243,137,390,243
41,20:0,"167 St"413,576,209,413
42,20:0,"238 St"103,8,130,103
43,20:0,"Fulton St"229,1609,3962,229
44,20:0,"Cathedral Pkwy"118,600,872,118
45,20:0,"Gun Hill Rd"208,454,226,208
46,20:0,"Church Av"244,231,351,244
47,20:0,"161 St - Yankee Stadium"414,1137,938,414
48,20:0,"231 St"104,92,208,104
49,20:0,"Wall St"230,427,922,230
50,20:0,"103 St"119,640,742,119
51,20:0,"Burke Av"209,144,106,209
52,20:0,"50 St"126,702,1475,126
53,20:0,"138 St - Grand Concourse"416,104,78,416
54,20:0,"Marble Hill - 225 St"106,81,165,106
55,20:0,"Clark St"231,243,176,231
56,20:0,"96 St"120,3624,2320,120
57,20:0,"Allerton Av"210,216,220,210
58,20:0,"Times Sq - 42 St"127,2427,4956,127
59,20:0,"125 St"621,1671,1581,621
60,20:0,"215 St"107,43,50,107
61,20:0,"Borough Hall"232,731,1050,232
62,20:0,"86 St"121,1738,1273,121
63,20:0,"Pelham Pkwy"211,582,566,211
64,20:0,"34 St - Penn Station"128,4202,3198,128
65,20:0,"86 St"626,2860,2210,626
66,20:0,"207 St"108,162,192,108
