,entry_exits_period,station.x,rounded_scaled_exits,new_rounded_hourly_entries,station_id
1,12:16,"Park Pl"228,188,215,228
2,12:16,"23 St"634,2126,1434,634
3,12:16,"103 St"624,854,771,624
4,12:16,"Clark St"231,224,278,231
5,12:16,"Fulton St"229,4488,2990,229
6,12:16,"116 St"622,552,920,622
7,12:16,"28 St"633,1930,1087,633
8,12:16,"3 Av - 138 St"619,321,399,619
9,12:16,"110 St"623,611,688,623
10,12:16,"Borough Hall"232,1679,2324,232
11,12:16,"Wall St"230,1041,1131,230
12,12:16,"68 St - Hunter College"628,1975,1884,628
13,12:16,"33 St"632,2124,1569,632
14,12:16,"Brook Av"618,299,318,618
15,12:16,"Atlantic Av - Barclays Ctr"235,2368,1860,235
16,12:16,"Hoyt St"233,470,479,233
17,12:16,"Winthrop St"243,103,390,243
18,12:16,"77 St"627,2429,1909,627
19,12:16,"51 St"630,1341,1128,630
20,12:16,"Cypress Av"617,142,189,617
21,12:16,"Bergen St"236,160,149,236
22,12:16,"Nevins St"234,722,685,234
23,12:16,"Church Av"244,148,506,244
24,12:16,"96 St"625,424,1508,625
25,12:16,"46 St"714,580,622,714
26,12:16,"E 143 St - St Mary's St"616,64,45,616
27,12:16,"Grand Army Plaza"237,194,338,237
28,12:16,"Court Sq"719,663,1110,719
29,12:16,"Beverly Rd"245,51,188,245
30,12:16,"69 St"711,243,253,711
31,12:16,"52 St"713,271,367,713
32,12:16,"E 149 St"615,200,216,615
33,12:16,"Eastern Pkwy - Brooklyn Museum"238,264,249,238
34,12:16,"Queensboro Plaza"718,196,655,718
35,12:16,"Newkirk Av"246,256,381,246
36,12:16,"74 St - Broadway"710,2583,2432,710
37,12:16,"Woodside - 61 St"712,782,833,712
38,12:16,"Longwood Av"614,154,165,614
39,12:16,"Franklin Av"239,389,598,239
40,12:16,"33 St"716,523,1061,716
41,12:16,"Flatbush Av - Brooklyn College"247,713,996,247
42,12:16,"82 St - Jackson Hts"709,1202,826,709
43,12:16,"Elder Av"611,286,320,611
44,12:16,"Hunts Point Av"613,451,486,613
45,12:16,"President St"241,253,225,241
46,12:16,"40 St"715,482,520,715
47,12:16,"Harlem - 148 St"301,196,208,301
48,12:16,"90 St - Elmhurst Av"708,459,691,708
49,12:16,"Morrison Av- Sound View"610,300,298,610
50,12:16,"Whitlock Av"612,93,85,612
51,12:16,"Sterling St"242,226,284,242
52,12:16,"Van Cortlandt Park - 242 St"101,155,308,101
53,12:16,"145 St"302,12,183,302
54,12:16,"Junction Blvd"707,986,836,707
55,12:16,"St Lawrence Av"609,214,188,609
56,12:16,"219 St"207,70,160,207
57,12:16,"66 St - Lincoln Center"124,1596,1190,124
58,12:16,"238 St"103,8,170,103
59,12:16,"Nostrand Av"248,217,217,248
60,12:16,"103 St - Corona Plaza"706,786,757,706
61,12:16,"Parkchester"608,742,762,608
62,12:16,"Gun Hill Rd"208,533,652,208
63,12:16,"59 St - Columbus Circle"125,3852,3896,125
64,12:16,"231 St"104,88,439,104
65,12:16,"Kingston Av"249,236,283,249
66,12:16,"111 St"705,360,419,705
67,12:16,"Castle Hill Av"607,395,349,607
68,12:16,"Burke Av"209,64,169,209
69,12:16,"50 St"126,1359,1099,126
70,12:16,"Marble Hill - 225 St"106,75,273,106
71,12:16,"Crown Hts - Utica Av"250,1179,1228,250
72,12:16,"Mets - Willets Point"702,225,107,702
73,12:16,"Westchester Sq - E Tremont Av"604,362,409,604
74,12:16,"Allerton Av"210,147,284,210
75,12:16,"Times Sq - 42 St"127,5420,3891,127
76,12:16,"215 St"107,64,138,107
77,12:16,"Sutter Av - Rutland Rd"251,271,374,251
78,12:16,"Flushing - Main St"701,2688,2635,701
79,12:16,"Middletown Rd"603,147,141,603
80,12:16,"Pelham Pkwy"211,368,631,211
81,12:16,"34 St - Penn Station"128,4197,3851,128
82,12:16,"207 St"108,191,318,108
83,12:16,"Saratoga Av"252,165,306,252
84,12:16,"Far Rockaway - Mott Av"H11,261,225,H11
85,12:16,"Pelham Bay Park"601,251,302,601
86,12:16,"Bronx Park East"212,63,140,212
87,12:16,"28 St"129,912,763,129
88,12:16,"Dyckman St"109,221,369,109
89,12:16,"Rockaway Av"253,340,278,253
90,12:16,"Beach 25 St"H10,85,95,H10
91,12:16,"5 Av"724,652,534,724
92,12:16,"E 180 St"213,301,340,213
93,12:16,"23 St"130,1007,734,130
94,12:16,"191 St"110,502,459,110
95,12:16,"Junius St"254,81,132,254
96,12:16,"Beach 36 St"H09,48,37,H09
97,12:16,"Vernon Blvd - Jackson Av"721,552,554,721
98,12:16,"West Farms Sq - E Tremont Av"214,376,426,214
99,12:16,"18 St"131,365,492,131
100,12:16,"181 St"111,810,663,111
101,12:16,"Pennsylvania Av"255,93,330,255
102,12:16,"Beach 44 St"H08,34,26,H08
103,12:16,"Hunters Point Av"720,222,226,720
104,12:16,"174 St"215,328,358,215
105,12:16,"14 St"132,2894,2213,132
106,12:16,"168 St - Washington Hts"112,1144,1316,112
107,12:16,"Van Siclen Av"256,50,148,256
108,12:16,"Beach 60 St"H07,145,112,H07
109,12:16,"18 Av"B19,104,238,B19
110,12:16,"Freeman St"216,195,254,216
111,12:16,"Christopher St - Sheridan Sq"133,936,551,133
112,12:16,"157 St"113,388,613,113
113,12:16,"New Lots Av"257,285,316,257
114,12:16,"Beach 67 St"H06,127,100,H06
115,12:16,"79 St"B18,107,333,B18
116,12:16,"Simpson St"217,109,549,217
117,12:16,"Houston St"134,893,676,134
118,12:16,"145 St"114,451,540,114
119,12:16,"Woodlawn"401,140,323,401
120,12:16,"Broad Channel"H04,7,9,H04
121,12:16,"71 St"B17,102,162,B17
122,12:16,"Intervale Av"218,189,190,218
123,12:16,"Canal St"135,568,268,135
124,12:16,"137 St - City College"115,630,815,115
125,12:16,"Mosholu Pkwy"402,172,504,402
126,12:16,"Howard Beach - JFK Airport"H03,195,215,H03
127,12:16,"62 St"B16,272,283,B16
128,12:16,"Prospect Av"219,123,429,219
129,12:16,"Franklin St"136,275,286,136
130,12:16,"125 St"116,468,444,116
