
"High St"A40,3053
"Sutphin Blvd - Archer Av - JFK Airport"G06,1098
"25 St"R35,83
"Pelham Bay Park"601,29
"Wall St"419,0
"Whitehall St"R27,83
"40 St"715,937
"Flushing Av"M12,0
"157 St"113,974
"Burnside Av"409,115
"Kosciuszko St"J31,197
"Bedford Park Blvd - Lehman College"405,74
"69 St"711,1677
"Ditmas Av"F29,370
"46 St"G18,375
"Ocean Pkwy"D41,196
"68 St - Hunter College"628,0
"174 St"215,1101
"Grand St"L12,1464
"14 St - Union Sq"635,1346
"169 St"F02,383
"Bedford Av"L08,1850
"42 St - Bryant Pk"D16,0
"79 St"122,0
"Utica Av"A48,2418
"215 St"107,109
"Junction Blvd"707,2637
"Flushing - Main St"701,956
"Spring St"638,786
"28 St"633,489
"116 St"622,44
"South Ferry Loop"140,189
"Astoria - Ditmars Blvd"R01,594
"75 Av"F07,0
"Morrison Av- Sound View"610,1367
"175 St"A07,678
"Sheepshead Bay"D39,530
"86 St"121,217
"Newkirk Av"246,260
"50 St"B14,523
"Kew Gardens - Union Tpke"F06,2295
"Inwood - 207 St"A02,125
"Aqueduct Racetrack"H01,484
"8 St - NYU"R21,0
"Cypress Hills"J19,18
"Canarsie - Rockaway Pkwy"L29,0
"Pelham Pkwy"211,324
"Woodlawn"401,0
"23 St"130,0
"86 St"626,3689
"174-175 Sts"D08,810
"E 105 St"L28,80
"57 St"B10,2009
"Fort Hamilton Pkwy"F26,621
"Gates Av"J30,146
"Nostrand Av"248,289
"Neck Rd"D38,8
"3 Av - 138 St"619,2268
"Parsons Blvd"F03,589
"176 St"410,179
"72 St"123,1706
"137 St - City College"115,1482
"82 St - Jackson Hts"709,439
"Broadway"G30,67
"125 St"225,40
"207 St"108,118
"Gun Hill Rd"208,302
"Hunters Point Av"720,5323
"Jamaica - 179 St"F01,212
"Church Av"D28,2043
"Sterling St"242,262
"Burke Av"209,307
"Kings Hwy"F35,102
"Woodside - 61 St"712,4877
"Brooklyn Bridge - City Hall"640,623
"18 Av"B19,232
"Bay Pkwy"B21,202
"Castle Hill Av"607,448
"Prospect Av"219,1170
"Pelham Pkwy"504,263
"138 St - Grand Concourse"416,950
"Borough Hall"232,316
"Fort Hamilton Pkwy"N03,735
"City Hall"R24,0
"Franklin Av"A45,272
"21 St - Queensbridge"B04,2356
"Roosevelt Island"B06,2503
"86 St"N10,0
"Liberty Av"A52,155
"77 St"627,500
"161 St - Yankee Stadium"414,1386
"E 180 St"213,843
"74 St - Broadway"710,1509
"225 St"206,130
"Avenue U"N09,90
"Mets - Willets Point"702,821
"72 St"A22,95
"Clinton - Washington Avs"G35,391
"Longwood Av"614,72
"W 8 St - NY Aquarium"D42,179
"33 St"716,759
"Montrose Av"L13,1367
"28 St"129,274
"Nereid Av"204,127
"135 St"224,221
"Franklin Av"239,1758
"Bedford Park Blvd"D03,357
"7 Av"D14,959
"Avenue H"D32,95
"Northern Blvd"G16,139
"Rockaway Park - Beach 116 St"H15,20
"85 St - Forest Pkwy"J16,51
"231 St"104,0
"Kingston Av"249,139
"191 St"110,313
"3 Av - 149 St"221,1170
"Grand Av - Newtown"G12,375
"Bergen St"236,163
"Eastern Pkwy - Brooklyn Museum"238,119
"Bowling Green"420,94
"Hoyt - Schermerhorn Sts"A42,3458
"Bergen St"F20,683
"Wakefield - 241 St"201,136
"Hewes St"M14,52
"Middletown Rd"603,115
"Forest Hills - 71 Av"G08,2277
"Clark St"231,150
"Lafayette Av"A43,279
"23 St"D18,0
"62 St"B16,486
"47-50 Sts - Rockefeller Ctr"D15,820
"Astor Pl"636,0
"Fresh Pond Rd"M04,235
"Broadway"R05,1826
"Christopher St - Sheridan Sq"133,0
"86 St"A20,183
"Westchester Sq - E Tremont Av"604,230
"8 Av"N02,972
"Atlantic Av"L24,249
"Nostrand Av"A46,2856
"167 St"D10,955
"East Broadway"F16,318
"21 St"G24,21
"Grant Av"A57,805
"18 St"131,0
"77 St"R43,183
"DeKalb Av"R30,2692
"Graham Av"L11,1615
"3 Av"L05,1709
"Beverley Rd"D29,117
"Canal St"A34,311
"66 St - Lincoln Center"124,0
"Forest Av"M05,357
"30 Av"R04,1419
"Marble Hill - 225 St"106,62
"Mt Eden Av"411,274
"Bedford - Nostrand Avs"G33,299
"103 St"119,1305
"9 Av"B12,839
"Kingsbridge Rd"406,72
"Winthrop St"243,165
"Rector St"R26,33
"15 St - Prospect Park"F25,653
"145 St"114,1237
"1 Av"L06,1871
"Beach 36 St"H09,222
"8 Av"L01,0
"Franklin St"136,297
"Times Sq - 42 St"127,3251
"Fulton St"229,2647
"219 St"207,140
"Avenue U"D37,31
"Beach 90 St"H12,73
"Wilson Av"L20,213
"Far Rockaway - Mott Av"H11,114
"Elder Av"611,1602
"Halsey St"L19,368
"Saratoga Av"252,211
"Bay Pkwy"N07,381
"181 St"A06,511
"Lexington Av/59 St"R11,1347
"Botanic Garden"S04,40
"125 St"621,3379
"86 St"R44,129
"Bay Ridge Av"R42,249
"Jackson Av"220,1137
"Parkchester"608,985
"Queensboro Plaza"718,7568
"59 St"R41,643
"Broadway Jct"A51,1983
"Junius St"254,66
"Livonia Av"L26,161
"Park Pl"S03,91
"Union St"R32,264
"Bay Ridge - 95 St"R45,84
"81 St - Museum of Natural History"A21,122
"Rockaway Av"A50,79
"Intervale Av"218,1211
"Astoria Blvd"R03,946
"104 St"J14,42
"145 St"302,84
"Hunts Point Av"613,1767
"51 St"630,0
