
"High St"A40,3076
"Sutphin Blvd - Archer Av - JFK Airport"G06,1261
"25 St"R35,166
"Pelham Bay Park"601,58
"Wall St"419,-94
"Whitehall St"R27,-196
"40 St"715,1221
"Flushing Av"M12,-62
"157 St"113,1267
"Burnside Av"409,216
"Kosciuszko St"J31,248
"Bedford Park Blvd - Lehman College"405,132
"69 St"711,1845
"Ditmas Av"F29,468
"46 St"G18,611
"Ocean Pkwy"D41,217
"68 St - Hunter College"628,-500
"174 St"215,1235
"Grand St"L12,1561
"14 St - Union Sq"635,-1354
"169 St"F02,554
"Bedford Av"L08,2118
"42 St - Bryant Pk"D16,-820
"79 St"122,-217
"Utica Av"A48,2730
"215 St"107,100
"Junction Blvd"707,3280
"Flushing - Main St"701,1912
"Spring St"638,642
"28 St"633,197
"116 St"622,88
"South Ferry Loop"140,378
"Astoria - Ditmars Blvd"R01,1188
"75 Av"F07,-22
"Morrison Av- Sound View"610,1595
"175 St"A07,845
"Sheepshead Bay"D39,795
"86 St"121,299
"Newkirk Av"246,383
"50 St"B14,555
"Kew Gardens - Union Tpke"F06,2662
"Inwood - 207 St"A02,250
"Aqueduct Racetrack"H01,406
"8 St - NYU"R21,-393
"Cypress Hills"J19,36
"Canarsie - Rockaway Pkwy"L29,-42
"Pelham Pkwy"211,343
"Woodlawn"401,-39
"23 St"130,-274
"86 St"626,3757
"174-175 Sts"D08,821
"E 105 St"L28,160
"57 St"B10,1635
"Fort Hamilton Pkwy"F26,655
"Gates Av"J30,191
"Nostrand Av"248,439
"Neck Rd"D38,16
"3 Av - 138 St"619,2405
"Parsons Blvd"F03,795
"176 St"410,243
"72 St"123,1507
"137 St - City College"115,1727
"82 St - Jackson Hts"709,878
"Broadway"G30,122
"125 St"225,-141
"207 St"108,109
"Gun Hill Rd"208,464
"Hunters Point Av"720,5339
"Jamaica - 179 St"F01,424
"Church Av"D28,2593
"Sterling St"242,359
"Burke Av"209,312
"Kings Hwy"F35,178
"Woodside - 61 St"712,5440
"Brooklyn Bridge - City Hall"640,412
"18 Av"B19,246
"Bay Pkwy"B21,392
"Castle Hill Av"607,666
"Prospect Av"219,1129
"Pelham Pkwy"504,282
"138 St - Grand Concourse"416,981
"Borough Hall"232,97
"Fort Hamilton Pkwy"N03,859
"City Hall"R24,-58
"Franklin Av"A45,453
"21 St - Queensbridge"B04,2547
"Roosevelt Island"B06,2650
"86 St"N10,-6
"Liberty Av"A52,168
"77 St"627,408
"161 St - Yankee Stadium"414,1145
"E 180 St"213,1016
"74 St - Broadway"710,2579
"225 St"206,152
"Avenue U"N09,180
"Mets - Willets Point"702,686
"72 St"A22,68
"Clinton - Washington Avs"G35,333
"Longwood Av"614,144
"W 8 St - NY Aquarium"D42,181
"33 St"716,581
"Montrose Av"L13,1448
"28 St"129,-30
"Nereid Av"204,118
"135 St"224,148
"Franklin Av"239,1991
"Bedford Park Blvd"D03,482
"7 Av"D14,696
"Avenue H"D32,155
"Northern Blvd"G16,278
"Rockaway Park - Beach 116 St"H15,40
"85 St - Forest Pkwy"J16,102
"231 St"104,-64
"Kingston Av"249,278
"191 St"110,626
"3 Av - 149 St"221,1203
"Grand Av - Newtown"G12,600
"Bergen St"236,197
"Eastern Pkwy - Brooklyn Museum"238,238
"Bowling Green"420,9
"Hoyt - Schermerhorn Sts"A42,3420
"Bergen St"F20,658
"Wakefield - 241 St"201,272
"Hewes St"M14,71
"Middletown Rd"603,201
"Forest Hills - 71 Av"G08,2281
"Clark St"231,163
"Lafayette Av"A43,211
"23 St"D18,-461
"62 St"B16,626
"47-50 Sts - Rockefeller Ctr"D15,-369
"Astor Pl"636,-330
"Fresh Pond Rd"M04,441
"Broadway"R05,2233
"Christopher St - Sheridan Sq"133,-250
"86 St"A20,126
"Westchester Sq - E Tremont Av"604,345
"8 Av"N02,1209
"Atlantic Av"L24,241
"Nostrand Av"A46,3113
"167 St"D10,1030
"East Broadway"F16,319
"21 St"G24,13
"Grant Av"A57,983
"18 St"131,-133
"77 St"R43,237
"DeKalb Av"R30,2623
"Graham Av"L11,1766
"3 Av"L05,1547
"Beverley Rd"D29,226
"Canal St"A34,-3
"66 St - Lincoln Center"124,-484
"Forest Av"M05,479
"30 Av"R04,1892
"Marble Hill - 225 St"106,15
"Mt Eden Av"411,369
"Bedford - Nostrand Avs"G33,453
"103 St"119,1336
"9 Av"B12,1111
"Kingsbridge Rd"406,144
"Winthrop St"243,130
"Rector St"R26,-17
"15 St - Prospect Park"F25,685
"145 St"114,1500
"1 Av"L06,1892
"Beach 36 St"H09,255
"8 Av"L01,-657
"Franklin St"136,193
"Times Sq - 42 St"127,1018
"Fulton St"229,2241
"219 St"207,150
"Avenue U"D37,54
"Beach 90 St"H12,100
"Wilson Av"L20,373
"Far Rockaway - Mott Av"H11,228
"Elder Av"611,1837
"Halsey St"L19,523
"Saratoga Av"252,242
"Bay Pkwy"N07,562
"181 St"A06,927
"Lexington Av/59 St"R11,1347
"Botanic Garden"S04,80
"125 St"621,3540
"86 St"R44,174
"Bay Ridge Av"R42,315
"Jackson Av"220,1104
"Parkchester"608,1522
"Queensboro Plaza"718,7445
"59 St"R41,65
"Broadway Jct"A51,2121
"Junius St"254,69
"Livonia Av"L26,185
"Park Pl"S03,142
"Union St"R32,307
"Bay Ridge - 95 St"R45,168
"81 St - Museum of Natural History"A21,61
"Rockaway Av"A50,158
"Intervale Av"218,1292
"Astoria Blvd"R03,1298
"104 St"J14,84
"145 St"302,50
"Hunts Point Av"613,1891
"51 St"630,-284
"Dyckman St"109,212
"88 St"A60,490
"57 St - 7 Av"R14,-68
"52 St"713,578
"Spring St"A33,-222
"Queens Plaza"G21,1179
"170 St"D09,950
"155 St"D12,1428
"59 St"629,3433
"Morris Park"505,417
"Canal St"135,155
"Shepherd Av"A54,104
"St Lawrence Av"609,1293
"36 St"G20,434
"125 St"A15,3315
"55 St"B15,496
"Grand St"D22,2785
"Myrtle - Wyckoff Avs"L17,1704
"Halsey St"J29,152
"Grand Central - 42 St"631,5833
"96 St"625,14
"Van Siclen Av"A53,232
"49 St"R15,-530
"65 St"G15,208
"7 Av"D25,2890
"14 St"A31,-381
"28 St"R18,-153
"45 St"R39,347
"Cleveland St"J22,198
"168 St"A09,678
"20 Av"N06,529
"Mosholu Pkwy"402,4
"Houston St"134,-226
"Bay 50 St"B23,-2
"116 St"A16,144
"Fordham Rd"D05,678
"103 St"624,712
"25 Av"B22,24
"Broad Channel"H04,493
"Grand Army Plaza"237,139
"Kingsbridge Rd"D04,747
"Alabama Av"J24,667
"Church Av"244,158
"Chambers St"M21,-44
"Woodhaven Blvd"G11,196
"50 St"A25,331
"111 St"705,1445
"90 St - Elmhurst Av"708,502
"Central Av"M10,270
"233 St"205,89
"E 149 St"615,280
"E 143 St - St Mary's St"616,200
"103 St"A18,311
"2 Av"F14,-152
"5 Av"724,-271
"Flatbush Av - Brooklyn College"247,274
"Avenue N"F33,261
"Van Siclen Av"256,84
"18 Av"N05,767
"20 Av"B20,234
"170 St"412,526
"Nassau Av"G28,-24
"Allerton Av"210,303
"Jamaica Center - Parsons/Archer"G05,1816
"Bay Pkwy"F32,187
"New Lots Av"L27,236
"Carroll St"F21,696
"50 St"126,-509
"Wall St"230,-150
"Cortlandt St"R25,-33
"Prospect Av"R34,319
"Bronx Park East"212,336
"Rector St"139,203
"39 Av"R08,2112
"5 Av/53 St"F12,1043
"Avenue I"F31,221
"111 St"J13,42
"79 St"B18,328
"Norwood Av"J21,555
"42 St - Port Authority Bus Terminal"A27,342
"Brighton Beach"D40,334
"Brook Av"618,512
"Middle Village - Metropolitan Av"M01,58
"Beach 60 St"H07,433
"23 St"A30,-390
"Fort Hamilton Pkwy"B13,611
"Flushing Av"G31,74
"W 4 St"A32,508
"West Farms Sq - E Tremont Av"214,1091
"36 Av"R06,2170
"71 St"B17,412
"Avenue J"D33,70
"145 St"A12,3572
"Court St"R28,362
"Harlem - 148 St"301,236
"110 St"623,412
"23 St"R19,-544
"Beach 44 St"H08,268
"Steinway St"G19,521
"Ralph Av"A49,167
"Chambers St"137,98
"34 St - Herald Sq"D17,-894
"Avenue X"F38,44
"Fulton St"G36,331
"Jay St - MetroTech"A41,3353
"Greenpoint Av"G26,58
"Broad St"M23,-95
"Canal St"639,1088
"Howard Beach - JFK Airport"H03,547
"New Lots Av"257,168
"Park Pl"228,477
"Cypress Av"617,244
"Gun Hill Rd"503,406
"Rockaway Blvd"A61,440
"President St"241,484
"Seneca Av"M06,561
"Lorimer St"L10,1549
"Simpson St"217,1033
"Chauncey St"J28,50
"Kingston - Throop Avs"A47,362
"5 Av/59 St"R13,909
"Crescent St"J20,510
"Fordham Rd"407,-109
"80 St"A59,778
"181 St"111,923
"Clinton - Washington Avs"A44,422
"238 St"103,-44
"Court Sq"719,7045
"63 Dr - Rego Park"G10,121
"7 Av"F24,463
"36 St"R36,2004
"Bushwick Av - Aberdeen St"L21,106
"Nevins St"234,528
"Van Siclen Av"J23,734
"6 Av"L02,512
"33 St"632,383
"Vernon Blvd - Jackson Av"721,5681
"Sutter Av"L25,353
"Euclid Av"A55,769
"Woodhaven Blvd"J15,48
"Central Park North (110 St)"227,340
"121 St"J12,33
"Avenue P"F34,172
"116 St"226,-40
"Cathedral Pkwy (110 St)"A17,174
"46 St"714,1017
"Tremont Av"D07,959
"Classon Av"G34,599
"Lorimer St"M13,66
"Whitlock Av"612,1684
"190 St"A05,139
"Eastchester - Dyre Av"501,200
"167 St"413,944
"182-183 Sts"D06,663
"18 Av"F30,337
"Cathedral Pkwy"118,1225
"Knickerbocker Av"M09,218
"Lexington Av/63 St"B08,2263
"Beach 105 St"H14,38
"Elmhurst Av"G13,525
"96 St"120,2605
"DeKalb Av"L16,1374
"Myrtle - Willoughby Avs"G32,265
"9 St"R33,241
"Pennsylvania Av"255,42
"96 St"A19,281
"Myrtle Av"M11,814
"135 St"A14,3003
"Newkirk Plaza"D31,1741
"183 St"408,134
"Atlantic Av - Barclays Ctr"235,6341
"Metropolitan Av"G29,-19
"125 St"116,1764
"Neptune Av"F39,-4
"Bowery"M19,-102
"Beach 98 St"H13,63
"Rockaway Av"253,294
"116 St - Columbia University"117,1023
"Sutphin Blvd"F04,703
"Bleecker St"637,-126
"103 St - Corona Plaza"706,2353
"34 St - Penn Station"A28,-377
"163 St - Amsterdam Av"A10,68
"Chambers St"A36,115
"Hoyt St"233,-45
"Beach 25 St"H10,264
"67 Av"G09,174
"Aqueduct - N Conduit Av"H02,604
"Briarwood - Van Wyck Blvd"F05,780
"Baychester Av"502,64
"155 St"A11,232
"Lexington Av/53 St"F11,894
"Kings Hwy"D35,1287
"Dyckman St"A03,-23
"Parkside Av"D27,316
"Jefferson St"L15,1247
"59 St - Columbus Circle"125,409
"Morgan Av"L14,1275
"Prince St"R22,152
"23 St"634,-489
"Jamaica - Van Wyck"G07,1332
"Marcy Av"M16,627
"Prospect Park"D26,2767
"New Utrecht Av"N04,611
"Sutter Av - Rutland Rd"251,395
"Avenue U"F36,30
"Church Av"F27,804
"75 St"J17,220
"168 St - Washington Hts"112,765
"Essex St"M18,509
"Crown Hts - Utica Av"250,1423
"14 St"132,-588
"Smith - 9 Sts"F22,765
"Beverly Rd"245,224
"Cortelyou Rd"D30,16
"World Trade Center"E01,-89
"Delancey St"F15,-14
"Avenue M"D34,-8
"Beach 67 St"H06,501
"Jackson Hts - Roosevelt Av"G14,2831
"4 Av"F23,792
"Coney Island - Stillwell Av"D43,370
"Norwood - 205 St"D01,464
"34 St - Penn Station"128,27
"Van Cortlandt Park - 242 St"101,96
"53 St"R40,138
"Broadway-Lafayette St"D21,2513
"Kings Hwy"N08,310
"York St"F18,279
"Freeman St"216,1353
"149 St - Grand Concourse"222,1088
