
"High St"A40,3843
"Sutphin Blvd - Archer Av - JFK Airport"G06,286
"25 St"R35,-4
"Pelham Bay Park"601,-51
"Wall St"419,1378
"Whitehall St"R27,2318
"40 St"715,311
"Flushing Av"M12,-318
"157 St"113,970
"Burnside Av"409,1186
"Kosciuszko St"J31,395
"Bedford Park Blvd - Lehman College"405,405
"69 St"711,275
"Ditmas Av"F29,126
"46 St"G18,-74
"Ocean Pkwy"D41,-71
"68 St - Hunter College"628,182
"174 St"215,1756
"Grand St"L12,1067
"14 St - Union Sq"635,7005
"169 St"F02,214
"Bedford Av"L08,1773
"42 St - Bryant Pk"D16,1250
"79 St"122,-268
"Utica Av"A48,1034
"215 St"107,790
"Junction Blvd"707,441
"Flushing - Main St"701,106
"Spring St"638,1038
"28 St"633,1686
"116 St"622,-368
"South Ferry Loop"140,1156
"Astoria - Ditmars Blvd"R01,32
"75 Av"F07,-110
"Morrison Av- Sound View"610,42
"175 St"A07,686
"Sheepshead Bay"D39,283
"86 St"121,376
"Newkirk Av"246,158
"50 St"B14,717
"Kew Gardens - Union Tpke"F06,628
"Inwood - 207 St"A02,-250
"Aqueduct Racetrack"H01,92
"8 St - NYU"R21,26
"Cypress Hills"J19,-7
"Canarsie - Rockaway Pkwy"L29,-437
"Pelham Pkwy"211,548
"Woodlawn"401,-183
"23 St"130,546
"86 St"626,6130
"174-175 Sts"D08,732
"E 105 St"L28,424
"57 St"B10,1483
"Fort Hamilton Pkwy"F26,73
"Gates Av"J30,85
"Nostrand Av"248,47
"Neck Rd"D38,-89
"3 Av - 138 St"619,95
"Parsons Blvd"F03,374
"176 St"410,1497
"72 St"123,4310
"137 St - City College"115,1324
"82 St - Jackson Hts"709,752
"Broadway"G30,105
"125 St"225,270
"207 St"108,811
"Gun Hill Rd"208,331
"Hunters Point Av"720,935
"Jamaica - 179 St"F01,-322
"Church Av"D28,1380
"Sterling St"242,1132
"Burke Av"209,464
"Kings Hwy"F35,93
"Woodside - 61 St"712,474
"Brooklyn Bridge - City Hall"640,1284
"18 Av"B19,94
"Bay Pkwy"B21,157
"Castle Hill Av"607,138
"Prospect Av"219,2010
"Pelham Pkwy"504,13
"138 St - Grand Concourse"416,4053
"Borough Hall"232,-536
"Fort Hamilton Pkwy"N03,250
"City Hall"R24,-141
"Franklin Av"A45,-26
"21 St - Queensbridge"B04,941
"Roosevelt Island"B06,982
"86 St"N10,-95
"Liberty Av"A52,23
"77 St"627,1131
"161 St - Yankee Stadium"414,2612
"E 180 St"213,1658
"74 St - Broadway"710,446
"225 St"206,92
"Avenue U"N09,35
"Mets - Willets Point"702,289
"72 St"A22,86
"Clinton - Washington Avs"G35,-62
"Longwood Av"614,-11
"W 8 St - NY Aquarium"D42,78
"33 St"716,-538
"Montrose Av"L13,922
"28 St"129,298
"Nereid Av"204,-84
"135 St"224,-309
"Franklin Av"239,1706
"Bedford Park Blvd"D03,-11
"7 Av"D14,3066
"Avenue H"D32,415
"Northern Blvd"G16,-83
"Rockaway Park - Beach 116 St"H15,34
"85 St - Forest Pkwy"J16,-24
"231 St"104,-36
"Kingston Av"249,-47
"191 St"110,1256
"3 Av - 149 St"221,2087
"Grand Av - Newtown"G12,310
"Bergen St"236,155
"Eastern Pkwy - Brooklyn Museum"238,30
"Bowling Green"420,819
"Hoyt - Schermerhorn Sts"A42,2460
"Bergen St"F20,1081
"Wakefield - 241 St"201,50
"Hewes St"M14,371
"Middletown Rd"603,57
"Forest Hills - 71 Av"G08,211
"Clark St"231,-54
"Lafayette Av"A43,-22
"23 St"D18,686
"62 St"B16,637
"47-50 Sts - Rockefeller Ctr"D15,2281
"Astor Pl"636,1014
"Fresh Pond Rd"M04,20
"Broadway"R05,27
"Christopher St - Sheridan Sq"133,770
"86 St"A20,55
"Westchester Sq - E Tremont Av"604,-2
"8 Av"N02,910
"Atlantic Av"L24,433
"Nostrand Av"A46,1461
"167 St"D10,975
"East Broadway"F16,-282
"21 St"G24,512
"Grant Av"A57,266
"18 St"131,19
"77 St"R43,102
"DeKalb Av"R30,2301
"Graham Av"L11,1161
"3 Av"L05,1387
"Beverley Rd"D29,95
"Canal St"A34,1252
"66 St - Lincoln Center"124,812
"Forest Av"M05,-65
"30 Av"R04,44
"Marble Hill - 225 St"106,468
"Mt Eden Av"411,1668
"Bedford - Nostrand Avs"G33,-98
"103 St"119,1568
"9 Av"B12,674
"Kingsbridge Rd"406,449
"Winthrop St"243,616
"Rector St"R26,-181
"15 St - Prospect Park"F25,245
"145 St"114,1331
"1 Av"L06,1800
"Beach 36 St"H09,48
"8 Av"L01,558
"Franklin St"136,495
"Times Sq - 42 St"127,5285
"Fulton St"229,5167
"219 St"207,270
"Avenue U"D37,-122
"Beach 90 St"H12,15
"Wilson Av"L20,13
"Far Rockaway - Mott Av"H11,72
"Elder Av"611,4
"Halsey St"L19,-94
"Saratoga Av"252,214
"Bay Pkwy"N07,125
"181 St"A06,477
"Lexington Av/59 St"R11,791
"Botanic Garden"S04,41
"125 St"621,4551
"86 St"R44,-94
"Bay Ridge Av"R42,67
"Jackson Av"220,2382
"Parkchester"608,26
"Queensboro Plaza"718,-163
"59 St"R41,1475
"Broadway Jct"A51,1277
"Junius St"254,315
"Livonia Av"L26,414
"Park Pl"S03,30
"Union St"R32,76
"Bay Ridge - 95 St"R45,-50
"81 St - Museum of Natural History"A21,847
"Rockaway Av"A50,-118
"Intervale Av"218,2314
"Astoria Blvd"R03,-74
"104 St"J14,53
"145 St"302,-159
"Hunts Point Av"613,29
"51 St"630,426
"Dyckman St"109,917
"88 St"A60,-12
"57 St - 7 Av"R14,-424
"52 St"713,333
"Spring St"A33,-424
"Queens Plaza"G21,2457
"170 St"D09,871
"155 St"D12,3518
"59 St"629,3928
"Morris Park"505,532
"Canal St"135,817
"Shepherd Av"A54,-67
"St Lawrence Av"609,92
"36 St"G20,312
"125 St"A15,5032
"55 St"B15,623
"Grand St"D22,1472
"Myrtle - Wyckoff Avs"L17,29
"Halsey St"J29,-224
"Grand Central - 42 St"631,8342
"96 St"625,-722
"Van Siclen Av"A53,55
"49 St"R15,647
"65 St"G15,-73
"7 Av"D25,818
"14 St"A31,1064
"28 St"R18,662
"45 St"R39,91
"Cleveland St"J22,32
"168 St"A09,1112
"20 Av"N06,162
"Mosholu Pkwy"402,-149
"Houston St"134,434
"Bay 50 St"B23,-84
"116 St"A16,-69
"Fordham Rd"D05,25
"103 St"624,528
"25 Av"B22,-150
"Broad Channel"H04,112
"Grand Army Plaza"237,-144
"Kingsbridge Rd"D04,148
"Alabama Av"J24,41
"Church Av"244,187
"Chambers St"M21,-149
"Woodhaven Blvd"G11,327
"50 St"A25,-210
"111 St"705,53
"90 St - Elmhurst Av"708,-232
"Central Av"M10,-69
"233 St"205,-108
"E 149 St"615,-5
"E 143 St - St Mary's St"616,46
"103 St"A18,119
"2 Av"F14,448
"5 Av"724,236
"Flatbush Av - Brooklyn College"247,-283
"Avenue N"F33,35
"Van Siclen Av"256,-67
"18 Av"N05,347
"20 Av"B20,58
"170 St"412,1681
"Nassau Av"G28,281
"Allerton Av"210,537
"Jamaica Center - Parsons/Archer"G05,140
"Bay Pkwy"F32,111
"New Lots Av"L27,479
"Carroll St"F21,912
"50 St"126,931
"Wall St"230,-36
"Cortlandt St"R25,222
"Prospect Av"R34,-5
"Bronx Park East"212,997
"Rector St"139,382
"39 Av"R08,145
"5 Av/53 St"F12,3944
"Avenue I"F31,185
"111 St"J13,-50
"79 St"B18,136
"Norwood Av"J21,50
"42 St - Port Authority Bus Terminal"A27,3774
"Brighton Beach"D40,-148
"Brook Av"618,36
"Middle Village - Metropolitan Av"M01,84
"Beach 60 St"H07,111
"23 St"A30,-149
"Fort Hamilton Pkwy"B13,622
"Flushing Av"G31,198
"W 4 St"A32,4738
"West Farms Sq - E Tremont Av"214,1686
"36 Av"R06,108
"71 St"B17,528
"Avenue J"D33,189
"145 St"A12,5155
"Court St"R28,1089
"Harlem - 148 St"301,-12
"110 St"623,291
"23 St"R19,-393
"Beach 44 St"H08,53
"Steinway St"G19,190
"Ralph Av"A49,-45
"Chambers St"137,802
"34 St - Herald Sq"D17,3228
"Avenue X"F38,-36
"Fulton St"G36,372
"Jay St - MetroTech"A41,3046
"Greenpoint Av"G26,430
"Broad St"M23,-58
"Canal St"639,4639
"Howard Beach - JFK Airport"H03,74
"New Lots Av"257,-31
"Park Pl"228,840
"Cypress Av"617,-39
"Gun Hill Rd"503,38
"Rockaway Blvd"A61,-212
"President St"241,1276
"Seneca Av"M06,20
"Lorimer St"L10,1117
"Simpson St"217,1435
"Chauncey St"J28,-97
"Kingston - Throop Avs"A47,-56
"5 Av/59 St"R13,1582
"Crescent St"J20,81
"Fordham Rd"407,293
"80 St"A59,29
"181 St"111,1317
"Clinton - Washington Avs"A44,-48
"238 St"103,-9
"Court Sq"719,2262
"63 Dr - Rego Park"G10,-67
"7 Av"F24,274
"36 St"R36,1384
"Bushwick Av - Aberdeen St"L21,-15
"Nevins St"234,174
"Van Siclen Av"J23,14
"6 Av"L02,103
"33 St"632,1953
"Vernon Blvd - Jackson Av"721,941
"Sutter Av"L25,382
"Euclid Av"A55,-86
"Woodhaven Blvd"J15,-41
"Central Park North (110 St)"227,1484
"121 St"J12,108
"Avenue P"F34,43
"116 St"226,715
"Cathedral Pkwy (110 St)"A17,-115
"46 St"714,345
"Tremont Av"D07,593
"Classon Av"G34,180
"Lorimer St"M13,159
"Whitlock Av"612,80
"190 St"A05,518
"Eastchester - Dyre Av"501,50
"167 St"413,1908
"182-183 Sts"D06,449
"18 Av"F30,172
"Cathedral Pkwy"118,1400
"Knickerbocker Av"M09,-15
"Lexington Av/63 St"B08,1269
"Beach 105 St"H14,11
"Elmhurst Av"G13,541
"96 St"120,3794
"DeKalb Av"L16,62
"Myrtle - Willoughby Avs"G32,-207
"9 St"R33,-18
"Pennsylvania Av"255,-108
"96 St"A19,284
"Myrtle Av"M11,496
"135 St"A14,4805
"Newkirk Plaza"D31,913
"183 St"408,1226
"Atlantic Av - Barclays Ctr"235,5498
"Metropolitan Av"G29,-39
"125 St"116,1718
"Neptune Av"F39,-66
"Bowery"M19,104
"Beach 98 St"H13,0
"Rockaway Av"253,479
"116 St - Columbia University"117,1644
"Sutphin Blvd"F04,355
"Bleecker St"637,33
"103 St - Corona Plaza"706,170
