
"High St"A40,4927
"Sutphin Blvd - Archer Av - JFK Airport"G06,1433
"25 St"R35,232
"Pelham Bay Park"601,158
"Wall St"419,1340
"Whitehall St"R27,-1199
"40 St"715,1882
"Flushing Av"M12,-361
"157 St"113,1098
"Burnside Av"409,326
"Kosciuszko St"J31,122
"Bedford Park Blvd - Lehman College"405,281
"69 St"711,2583
"Ditmas Av"F29,1327
"46 St"G18,1410
"Ocean Pkwy"D41,92
"68 St - Hunter College"628,-1912
"174 St"215,2431
"Grand St"L12,2841
"14 St - Union Sq"635,-82
"169 St"F02,990
"Bedford Av"L08,5278
"42 St - Bryant Pk"D16,-1569
"79 St"122,-421
"Utica Av"A48,6075
"215 St"107,231
"Junction Blvd"707,5129
"Flushing - Main St"701,3714
"Spring St"638,395
"28 St"633,219
"116 St"622,547
"South Ferry Loop"140,190
"Astoria - Ditmars Blvd"R01,2006
"75 Av"F07,-48
"Morrison Av- Sound View"610,3253
"175 St"A07,1338
"Sheepshead Bay"D39,2350
"86 St"121,930
"Newkirk Av"246,1351
"50 St"B14,1302
"Kew Gardens - Union Tpke"F06,6493
"Inwood - 207 St"A02,398
"Aqueduct Racetrack"H01,908
"8 St - NYU"R21,-410
"Cypress Hills"J19,62
"Canarsie - Rockaway Pkwy"L29,-97
"Pelham Pkwy"211,720
"Woodlawn"401,-20
"23 St"130,-417
"86 St"626,5756
"174-175 Sts"D08,1372
"E 105 St"L28,440
"57 St"B10,2703
"Fort Hamilton Pkwy"F26,1515
"Gates Av"J30,167
"Nostrand Av"248,611
"Neck Rd"D38,70
"3 Av - 138 St"619,4593
"Parsons Blvd"F03,1282
"176 St"410,242
"72 St"123,2876
"137 St - City College"115,1386
"82 St - Jackson Hts"709,1054
"Broadway"G30,146
"125 St"225,-438
"207 St"108,215
"Gun Hill Rd"208,882
"Hunters Point Av"720,5923
"Jamaica - 179 St"F01,812
"Church Av"D28,5021
"Sterling St"242,935
"Burke Av"209,730
"Kings Hwy"F35,903
"Woodside - 61 St"712,9526
"Brooklyn Bridge - City Hall"640,-398
"18 Av"B19,790
"Bay Pkwy"B21,1271
"Castle Hill Av"607,1209
"Prospect Av"219,1950
"Pelham Pkwy"504,535
"138 St - Grand Concourse"416,931
"Borough Hall"232,4505
"Fort Hamilton Pkwy"N03,2049
"City Hall"R24,-125
"Franklin Av"A45,811
"21 St - Queensbridge"B04,5592
"Roosevelt Island"B06,5974
"86 St"N10,-18
"Liberty Av"A52,296
"77 St"627,2129
"161 St - Yankee Stadium"414,2452
"E 180 St"213,2268
"74 St - Broadway"710,3463
"225 St"206,431
"Avenue U"N09,492
"Mets - Willets Point"702,2797
"72 St"A22,60
"Clinton - Washington Avs"G35,215
"Longwood Av"614,160
"W 8 St - NY Aquarium"D42,362
"33 St"716,762
"Montrose Av"L13,2590
"28 St"129,-894
"Nereid Av"204,331
"135 St"224,642
"Franklin Av"239,3654
"Bedford Park Blvd"D03,1001
"7 Av"D14,-1084
"Avenue H"D32,221
"Northern Blvd"G16,680
"Rockaway Park - Beach 116 St"H15,104
"85 St - Forest Pkwy"J16,186
"231 St"104,-78
"Kingston Av"249,406
"191 St"110,876
"3 Av - 149 St"221,1733
"Grand Av - Newtown"G12,777
"Bergen St"236,553
"Eastern Pkwy - Brooklyn Museum"238,508
"Bowling Green"420,3816
"Hoyt - Schermerhorn Sts"A42,6832
"Bergen St"F20,1877
"Wakefield - 241 St"201,606
"Hewes St"M14,33
"Middletown Rd"603,681
"Forest Hills - 71 Av"G08,5155
"Clark St"231,562
"Lafayette Av"A43,540
"23 St"D18,-808
"62 St"B16,1447
"47-50 Sts - Rockefeller Ctr"D15,-920
"Astor Pl"636,1192
"Fresh Pond Rd"M04,1391
"Broadway"R05,3490
"Christopher St - Sheridan Sq"133,901
"86 St"A20,216
"Westchester Sq - E Tremont Av"604,742
"8 Av"N02,2550
"Atlantic Av"L24,627
"Nostrand Av"A46,6354
"167 St"D10,1598
"East Broadway"F16,-5
"21 St"G24,311
"Grant Av"A57,1947
"18 St"131,127
"77 St"R43,399
"DeKalb Av"R30,4214
"Graham Av"L11,3257
"3 Av"L05,4287
"Beverley Rd"D29,328
"Canal St"A34,70
"66 St - Lincoln Center"124,-198
"Forest Av"M05,1260
"30 Av"R04,2999
"Marble Hill - 225 St"106,70
"Mt Eden Av"411,240
"Bedford - Nostrand Avs"G33,589
"103 St"119,-102
"9 Av"B12,2184
"Kingsbridge Rd"406,247
"Winthrop St"243,336
"Rector St"R26,448
"15 St - Prospect Park"F25,1628
"145 St"114,1470
"1 Av"L06,5110
"Beach 36 St"H09,412
"8 Av"L01,-991
"Franklin St"136,68
"Times Sq - 42 St"127,-3
"Fulton St"229,2819
"219 St"207,478
"Avenue U"D37,95
"Beach 90 St"H12,257
"Wilson Av"L20,422
"Far Rockaway - Mott Av"H11,378
"Elder Av"611,3910
"Halsey St"L19,609
"Saratoga Av"252,435
"Bay Pkwy"N07,1615
"181 St"A06,1500
"Lexington Av/59 St"R11,3236
"Botanic Garden"S04,170
"125 St"621,5479
"86 St"R44,351
"Bay Ridge Av"R42,610
"Jackson Av"220,1874
"Parkchester"608,4125
"Queensboro Plaza"718,12039
"59 St"R41,501
"Broadway Jct"A51,4744
"Junius St"254,85
"Livonia Av"L26,588
"Park Pl"S03,309
"Union St"R32,836
"Bay Ridge - 95 St"R45,358
"81 St - Museum of Natural History"A21,-302
"Rockaway Av"A50,306
"Intervale Av"218,2332
"Astoria Blvd"R03,2095
"104 St"J14,144
"145 St"302,39
"Hunts Point Av"613,4035
"51 St"630,-605
"Dyckman St"109,332
"88 St"A60,1130
"57 St - 7 Av"R14,-210
"52 St"713,1058
"Spring St"A33,-535
"Queens Plaza"G21,680
"170 St"D09,1614
"155 St"D12,2299
"59 St"629,3783
"Morris Park"505,995
"Canal St"135,-395
"Shepherd Av"A54,156
"St Lawrence Av"609,2885
"36 St"G20,512
"125 St"A15,4525
"55 St"B15,1197
"Grand St"D22,2761
"Myrtle - Wyckoff Avs"L17,2891
"Halsey St"J29,194
"Grand Central - 42 St"631,2002
"96 St"625,-1349
"Van Siclen Av"A53,494
"49 St"R15,-807
"65 St"G15,370
"7 Av"D25,6391
"14 St"A31,-790
"28 St"R18,-238
"45 St"R39,357
"Cleveland St"J22,520
"168 St"A09,1057
"20 Av"N06,1343
"Mosholu Pkwy"402,-187
"Houston St"134,-1129
"Bay 50 St"B23,-54
"116 St"A16,192
"Fordham Rd"D05,1027
"103 St"624,1707
"25 Av"B22,54
"Broad Channel"H04,850
"Grand Army Plaza"237,432
"Kingsbridge Rd"D04,1510
"Alabama Av"J24,1616
"Church Av"244,722
"Chambers St"M21,-95
"Woodhaven Blvd"G11,836
"50 St"A25,-372
"111 St"705,2999
"90 St - Elmhurst Av"708,440
"Central Av"M10,592
"233 St"205,317
"E 149 St"615,460
"E 143 St - St Mary's St"616,302
"103 St"A18,411
"2 Av"F14,932
"5 Av"724,-540
"Flatbush Av - Brooklyn College"247,1238
"Avenue N"F33,962
"Van Siclen Av"256,125
"18 Av"N05,2077
"20 Av"B20,747
"170 St"412,272
"Nassau Av"G28,326
"Allerton Av"210,684
"Jamaica Center - Parsons/Archer"G05,1044
"Bay Pkwy"F32,799
"New Lots Av"L27,717
"Carroll St"F21,1677
"50 St"126,220
"Wall St"230,-495
"Cortlandt St"R25,-552
"Prospect Av"R34,592
"Bronx Park East"212,726
"Rector St"139,17
"39 Av"R08,3206
"5 Av/53 St"F12,-1148
"Avenue I"F31,925
"111 St"J13,96
"79 St"B18,902
"Norwood Av"J21,1343
"42 St - Port Authority Bus Terminal"A27,-63
"Brighton Beach"D40,398
"Brook Av"618,603
"Middle Village - Metropolitan Av"M01,154
"Beach 60 St"H07,665
"23 St"A30,-569
"Fort Hamilton Pkwy"B13,1321
"Flushing Av"G31,34
"W 4 St"A32,4004
"West Farms Sq - E Tremont Av"214,2136
"36 Av"R06,3342
"71 St"B17,1031
"Avenue J"D33,86
"145 St"A12,4993
"Court St"R28,2511
"Harlem - 148 St"301,354
"110 St"623,1242
"23 St"R19,-1049
"Beach 44 St"H08,434
"Steinway St"G19,1293
"Ralph Av"A49,261
"Chambers St"137,84
"34 St - Herald Sq"D17,-1806
"Avenue X"F38,463
"Fulton St"G36,380
"Jay St - MetroTech"A41,6762
"Greenpoint Av"G26,519
"Broad St"M23,-817
"Canal St"639,-1030
"Howard Beach - JFK Airport"H03,890
"New Lots Av"257,278
"Park Pl"228,1221
"Cypress Av"617,228
"Gun Hill Rd"503,731
"Rockaway Blvd"A61,838
"President St"241,1128
"Seneca Av"M06,1521
"Lorimer St"L10,2859
"Simpson St"217,1772
"Chauncey St"J28,56
"Kingston - Throop Avs"A47,442
"5 Av/59 St"R13,412
"Crescent St"J20,1224
"Fordham Rd"407,-123
"80 St"A59,1788
"181 St"111,982
"Clinton - Washington Avs"A44,944
"238 St"103,-122
"Court Sq"719,9740
"63 Dr - Rego Park"G10,287
"7 Av"F24,941
"36 St"R36,3133
"Bushwick Av - Aberdeen St"L21,138
"Nevins St"234,5175
"Van Siclen Av"J23,1786
"6 Av"L02,708
"33 St"632,304
"Vernon Blvd - Jackson Av"721,6695
"Sutter Av"L25,806
"Euclid Av"A55,1610
"Woodhaven Blvd"J15,122
"Central Park North (110 St)"227,520
"121 St"J12,98
"Avenue P"F34,772
"116 St"226,-167
"Cathedral Pkwy (110 St)"A17,198
"46 St"714,1547
"Tremont Av"D07,1666
"Classon Av"G34,904
"Lorimer St"M13,18
"Whitlock Av"612,3548
"190 St"A05,160
"Eastchester - Dyre Av"501,712
"167 St"413,875
"182-183 Sts"D06,1102
"18 Av"F30,1079
"Cathedral Pkwy"118,-182
"Knickerbocker Av"M09,560
"Lexington Av/63 St"B08,5150
"Beach 105 St"H14,112
"Elmhurst Av"G13,749
"96 St"120,2868
"DeKalb Av"L16,2446
"Myrtle - Willoughby Avs"G32,285
"9 St"R33,542
"Pennsylvania Av"255,62
"96 St"A19,501
"Myrtle Av"M11,1075
"135 St"A14,4264
"Newkirk Plaza"D31,3988
"183 St"408,391
"Atlantic Av - Barclays Ctr"235,13665
"Metropolitan Av"G29,327
"125 St"116,1749
"Neptune Av"F39,331
"Bowery"M19,-72
"Beach 98 St"H13,160
"Rockaway Av"253,515
"116 St - Columbia University"117,-783
"Sutphin Blvd"F04,1284
"Bleecker St"637,-535
"103 St - Corona Plaza"706,4075
"34 St - Penn Station"A28,1832
"163 St - Amsterdam Av"A10,-16
"Chambers St"A36,197
"Hoyt St"233,-119
"Beach 25 St"H10,427
"67 Av"G09,442
"Aqueduct - N Conduit Av"H02,1273
"Briarwood - Van Wyck Blvd"F05,1383
"Baychester Av"502,194
"155 St"A11,252
"Lexington Av/53 St"F11,2149
"Kings Hwy"D35,2891
"Dyckman St"A03,-227
"Parkside Av"D27,478
"Jefferson St"L15,2311
"59 St - Columbus Circle"125,-19
"Morgan Av"L14,2276
"Prince St"R22,-55
"23 St"634,-1099
"Jamaica - Van Wyck"G07,1660
"Marcy Av"M16,869
"Prospect Park"D26,5333
"New Utrecht Av"N04,1643
"Sutter Av - Rutland Rd"251,631
"Avenue U"F36,369
"Church Av"F27,1731
"75 St"J17,392
"168 St - Washington Hts"112,475
"Essex St"M18,487
"Crown Hts - Utica Av"250,2384
"14 St"132,1872
"Smith - 9 Sts"F22,1697
"Beverly Rd"245,939
"Cortelyou Rd"D30,-6
"World Trade Center"E01,-168
"Delancey St"F15,576
"Avenue M"D34,-15
"Beach 67 St"H06,799
"Jackson Hts - Roosevelt Av"G14,5716
"4 Av"F23,1747
"Coney Island - Stillwell Av"D43,808
"Norwood - 205 St"D01,862
"34 St - Penn Station"128,2008
"Van Cortlandt Park - 242 St"101,168
"53 St"R40,70
"Broadway-Lafayette St"D21,3130
"Kings Hwy"N08,824
"York St"F18,-524
"Freeman St"216,2591
"149 St - Grand Concourse"222,1491
