"","station","station_id","daily_entries","daily_exits"
"1","1 AVE","L06",832.146048109966,902.812285223368
"2","103 ST","119",456.885135135135,171.874774774775
"3","103 ST","624",455.761711711712,432.236486486487
"4","103 ST","A18",177.699504361618,99.9812670719887
"5","103 ST-CORONA","706",1100.78648648649,411.561711711712
"6","104 ST","J14",132.761538461538,41.0235042735043
"7","110 ST","623",548.157657657658,336.968468468468
"8","110 ST-CATHEDRL","118",406.44954954955,220.86981981982
"9","110 ST-CPN","227",415.888158538974,282.076924206815
"10","111 ST","705",622.903775322284,210.787753222836
"11","111 ST","J13",123.90811965812,45.1217948717949
"12","116 ST","226",425.481081081081,147.937837837838
"13","116 ST","622",542.88241284763,288.520708480219
"14","116 ST","A16",245.902920962199,157.862113402062
"15","116 ST-COLUMBIA","117",303.095045045045,271.542792792793
"16","121 ST","J12",114.496581196581,41.8452991452991
"17","125 ST","116",294.943297101449,269.022955836271
"18","125 ST","225",388.563063063063,184.092342342342
"19","125 ST","621",815.894594594595,815.580630630631
"20","125 ST","A15",1029.92393162393,804.848717948718
"21","135 ST","224",638.903603603604,178.551801801802
"22","135 ST","A14",174.332903780069,149.060996563574
"23","137 ST-CITY COL","115",494.29009009009,316.812162162162
"24","138 ST-3 AVE","619",327.055682040736,172.776444379162
"25","138 ST-GR CONC","416",136.386936936937,120.757207207207
"26","14 ST","A31",445.508547008547,648.839743589744
"27","14 ST-6 AVE","132",1341.97387387387,1587.3509009009
"28","14 ST-UNION SQ","635",2598.68504273504,2741.51538461538
"29","145 ST","114",444.400308460635,234.260424010968
"30","145 ST","302",178.541639737564,5.00090334900117
"31","145 ST","A12",1015.78632478632,746.57735042735
"32","148 ST-LENOX","301",193.41981981982,111.036036036036
"33","149 ST-3 AVE","221",954.963963963964,340.370720720721
"34","149 ST-GR CONC","222",439.668365893366,341.272578347578
"35","15 ST-PROSPECT","F25",238.248648648649,47.4148648648649
"36","155 ST","A11",109.605930505849,69.7641285187757
"37","155 ST","D12",165.78201754386,60.2197368421053
"38","157 ST","113",420.590659340659,240.135531135531
"39","161 ST-YANKEE","414",805.945175438596,292.303947368421
"40","163 ST-AMSTERDM","A10",191.301315789474,50.3447368421053
"41","167 ST","413",478.392202720361,278.497606814762
"42","167 ST","D10",489.753947368421,137.761403508772
"43","168 ST-BROADWAY","112",775.186324786325,818.49358974359
"44","168 ST-BROADWAY","A09",0,0
"45","169 ST","F02",414.581981981982,202.33963963964
"46","170 ST","412",434.080630630631,200.172072072072
"47","170 ST","D09",308.935526315789,108.698245614035
"48","174 ST","215",262.490990990991,167.187837837838
"49","174-175 ST","D08",229.683333333333,65.3100877192982
"50","175 ST","A07",618.761965811966,186.396153846154
"51","176 ST","410",286.105855855856,107.54009009009
"52","18 AVE","B19",340.961106705437,43.9698938232443
"53","18 AVE","F30",191.622972972973,100.381531531532
"54","18 AVE","N05",248.909401709402,111.048290598291
"55","18 ST","131",206.010810810811,201.228828828829
"56","181 ST","111",482.887607716412,362.597527418723
"57","181 ST","A06",485.058547008547,239.476068376068
"58","182-183 ST","D06",244.268425718552,57.9782334826428
"59","183 ST","408",320.143693693694,100.417117117117
"60","190 ST","A05",235.354588510001,56.7639439598202
"61","191 ST","110",385.335529279279,291.18580101841
"62","2 AVE","F14",657.795495495495,523.858558558559
"63","20 AVE","B20",278.636225658648,40.1429575292977
"64","20 AVE","N06",193.588223632038,76.1542558815755
"65","207 ST","108",280.189835487662,89.720392675284
"66","21 ST","B04",373.433515482696,305.221766848816
"67","215 ST","107",75.3693693693694,28.6738738738739
"68","219 ST","207",172.559038386212,45.3914806110458
"69","22 AVE-BAY PKY","F32",63.151268115942,22.5267210144928
