
"High St"A40,A40,"Jay St - MetroTech"A41,A41,4677
"High St"A40,A40,"Fulton St"229,229,0
"Sutphin Blvd - Archer Av - JFK Airport"G06,G06,"Jamaica - Van Wyck"G07,G07,0
"Sutphin Blvd - Archer Av - JFK Airport"G06,G06,"Jamaica Center - Parsons/Archer"G05,G05,522
"Sutphin Blvd - Archer Av - JFK Airport"G06,G06,"121 St"J12,J12,73
"Nostrand Av"A46,A46,"Hoyt - Schermerhorn Sts"A42,A42,0
"Nostrand Av"A46,A46,"Kingston - Throop Avs"A47,A47,221
"Nostrand Av"A46,A46,"Franklin Av"A45,A45,0
"Nostrand Av"A46,A46,"Utica Av"A48,A48,5391
"25 St"R35,R35,"Prospect Av"R34,R34,0
"25 St"R35,R35,"36 St"R36,R36,0
"Pelham Bay Park"601,601,"Middletown Rd"603,603,0
"Wall St"419,419,"Bowling Green"420,420,4106
"Wall St"419,419,"Fulton St"229,229,0
"Whitehall St"R27,R27,"Court St"R28,R28,2511
"Whitehall St"R27,R27,"Rector St"R26,R26,0
"Jackson Av"220,220,"Prospect Av"219,219,2080
"Jackson Av"220,220,"3 Av - 149 St"221,221,0
"40 St"715,715,"33 St"716,716,0
"40 St"715,715,"46 St"714,714,1038
"Flushing Av"M12,M12,"Lorimer St"M13,M13,0
"Flushing Av"M12,M12,"Myrtle Av"M11,M11,361
"157 St"113,113,"168 St - Washington Hts"112,112,538
"157 St"113,113,"145 St"114,114,0
"Burnside Av"409,409,"176 St"410,410,176
"Burnside Av"409,409,"183 St"408,408,0
"Kosciuszko St"J31,J31,"Myrtle Av"M11,M11,0
"Kosciuszko St"J31,J31,"Gates Av"J30,J30,132
"Bedford Park Blvd - Lehman College"405,405,"Kingsbridge Rd"406,406,173
"Bedford Park Blvd - Lehman College"405,405,"Mosholu Pkwy"402,402,0
"69 St"711,711,"Woodside - 61 St"712,712,0
"69 St"711,711,"74 St - Broadway"710,710,1995
"Ditmas Av"F29,F29,"Church Av"F27,F27,0
"Ditmas Av"F29,F29,"18 Av"F30,F30,975
