,train,train_stop,station_id,station,time_travel,line_name,stop_lat,stop_lon
1,1,101,101,"Van Cortlandt Park - 242 St"101,0,1,40.889248,-73.898583
2,1,102,103,"238 St"103,90,1,40.884667,-73.90087
3,1,103,104,"231 St"104,90,1,40.878856,-73.904834
4,1,104,106,"Marble Hill - 225 St"106,90,1,40.874561,-73.909831
5,1,105,107,"215 St"107,90,1,40.869444,-73.915279
6,1,106,108,"207 St"108,60,1,40.864621,-73.918822
7,1,107,109,"Dyckman St"109,90,1,40.860531,-73.925536
8,1,108,110,"191 St"110,90,1,40.855225,-73.929412
9,1,109,111,"181 St"111,90,1,40.849505,-73.933596
10,1,1010,112,"168 St - Washington Hts"112,120,1AC,40.840556,-73.940133
11,1,1011,113,"157 St"113,90,1,40.834041,-73.94489
12,1,1012,114,"145 St"114,120,1,40.826551,-73.95036
13,1,1013,115,"137 St - City College"115,90,1,40.822008,-73.953676
14,1,1014,116,"125 St"116,90,1,40.815581,-73.958372
15,1,1015,117,"116 St - Columbia University"117,150,1,40.807722,-73.96411
16,1,1016,118,"Cathedral Pkwy"118,60,1,40.803967,-73.966847
17,1,1017,119,"103 St"119,60,1,40.799446,-73.968379
18,1,1018,120,"96 St"120,120,123,40.793919,-73.972323
19,1,1019,121,"86 St"121,120,1,40.788644,-73.976218
20,1,1020,122,"79 St"122,60,1,40.783934,-73.979917
21,1,1021,123,"72 St"123,90,123,40.778453,-73.98197
22,1,1022,124,"66 St - Lincoln Center"124,90,1,40.77344,-73.982209
23,1,1023,125,"59 St - Columbus Circle"125,90,1ABCD,40.768247,-73.981929
24,1,1024,126,"50 St"126,120,1,40.761728,-73.983849
25,1,1025,127,"Times Sq - 42 St"127,90,1237ACEGNQRS,40.75529,-73.987495
26,1,1026,128,"34 St - Penn Station"128,90,123,40.750373,-73.991057
27,1,1027,129,"28 St"129,90,1,40.747215,-73.993365
28,1,1028,130,"23 St"130,60,1,40.744081,-73.995657
29,1,1029,131,"18 St"131,60,1,40.74104,-73.997871
30,1,1030,132,"14 St"132,60,123FLM,40.737826,-74.000201
31,1,1031,133,"Christopher St - Sheridan Sq"133,90,1,40.733422,-74.002906
32,1,1032,134,"Houston St"134,90,1,40.728251,-74.005367
33,1,1033,135,"Canal St"135,90,1,40.722854,-74.006277
34,1,1034,136,"Franklin St"136,60,1,40.719318,-74.006886
35,1,1035,137,"Chambers St"137,210,123,40.715478,-74.009266
36,1,1037,139,"Rector St"139,150,1,40.707513,-74.013783
37,1,1038,140,"South Ferry Loop"140,210,1NR,40.701411,-74.013205
38,2,201,201,"Wakefield - 241 St"201,0,2,40.903125,-73.85062
39,2,202,204,"Nereid Av"204,90,25,40.898379,-73.854376
40,2,203,205,"233 St"205,90,25,40.893193,-73.857473
41,2,204,206,"225 St"206,90,25,40.888022,-73.860341
42,2,205,207,"219 St"207,60,25,40.883895,-73.862633
43,2,206,208,"Gun Hill Rd"208,90,25,40.87785,-73.866256
44,2,207,209,"Burke Av"209,90,25,40.871356,-73.867164
45,2,208,210,"Allerton Av"210,90,25,40.865462,-73.867352
46,2,209,211,"Pelham Pkwy"211,120,25,40.857192,-73.867615
47,2,2010,212,"Bronx Park East"212,120,25,40.848828,-73.868457
48,2,2011,213,"E 180 St"213,120,25,40.841894,-73.873488
49,2,2012,214,"West Farms Sq - E Tremont Av"214,90,2,40.840295,-73.880049
50,2,2013,215,"174 St"215,120,2,40.837288,-73.887734
51,2,2014,216,"Freeman St"216,120,2,40.829993,-73.891865
52,2,2015,217,"Simpson St"217,120,2,40.824073,-73.893064
53,2,2016,218,"Intervale Av"218,60,2,40.822181,-73.896736
54,2,2017,219,"Prospect Av"219,60,2,40.819585,-73.90177
55,2,2018,220,"Jackson Av"220,90,2,40.81649,-73.907807
56,2,2019,221,"3 Av - 149 St"221,150,25,40.816109,-73.917757
57,2,2020,222,"149 St - Grand Concourse"222,120,245,40.81841,-73.926718
58,2,2021,224,"135 St"224,210,23,40.814229,-73.94077
59,2,2022,225,"125 St"225,120,23,40.807754,-73.945495
60,2,2023,226,"116 St"226,90,23,40.802098,-73.949625
61,2,2024,227,"Central Park North (110 St)"227,60,23,40.799075,-73.951822
62,2,2025,120,"96 St"120,270,123,40.793919,-73.972323
63,2,2026,123,"72 St"123,180,123,40.778453,-73.98197
64,2,2027,127,"Times Sq - 42 St"127,270,1237ACEGNQRS,40.75529,-73.987495
65,2,2028,128,"34 St - Penn Station"128,60,123,40.750373,-73.991057
66,2,2029,132,"14 St"132,180,123FLM,40.737826,-74.000201
67,2,2030,137,"Chambers St"137,270,123,40.715478,-74.009266
68,2,2031,228,"Park Pl"228,90,23ACE,40.713051,-74.008811
69,2,2032,229,"Fulton St"229,120,2345ACJZ,40.709416,-74.006571
70,2,2033,230,"Wall St"230,90,23,40.706821,-74.0091
71,2,2034,231,"Clark St"231,270,23,40.697466,-73.993086
72,2,2035,232,"Borough Hall"232,90,2345NR,40.693219,-73.989998
73,2,2036,233,"Hoyt St"233,90,23,40.690545,-73.985065
