"","Train","FromStopID","FromStation","ToStopID","ToStation","TravelTime"
"2","3","257","""New Lots Av""257","256","""Van Siclen Av""256",90
"3","3","256","""Van Siclen Av""256","255","""Pennsylvania Av""255",60
"4","3","255","""Pennsylvania Av""255","254","""Junius St""254",90
"5","3","254","""Junius St""254","253","""Rockaway Av""253",60
"6","3","253","""Rockaway Av""253","252","""Saratoga Av""252",120
"7","3","252","""Saratoga Av""252","251","""Sutter Av - Rutland Rd""251",90
"8","3","251","""Sutter Av - Rutland Rd""251","250","""Crown Hts - Utica Av""250",210
"9","3","250","""Crown Hts - Utica Av""250","249","""Kingston Av""249",180
"10","3","249","""Kingston Av""249","248","""Nostrand Av""248",90
"11","3","248","""Nostrand Av""248","239","""Franklin Av""239",90
"12","3","239","""Franklin Av""239","238","""Eastern Pkwy - Brooklyn Museum""238",90
"13","3","238","""Eastern Pkwy - Brooklyn Museum""238","237","""Grand Army Plaza""237",120
"14","3","237","""Grand Army Plaza""237","236","""Bergen St""236",120
"15","3","236","""Bergen St""236","235","""Atlantic Av - Barclays Ctr""235",60
"16","3","235","""Atlantic Av - Barclays Ctr""235","234","""Nevins St""234",90
"17","3","234","""Nevins St""234","233","""Hoyt St""233",90
"18","3","233","""Hoyt St""233","232","""Borough Hall""232",90
"19","3","232","""Borough Hall""232","231","""Clark St""231",90
"20","3","231","""Clark St""231","230","""Wall St""230",180
"21","3","230","""Wall St""230","229","""Fulton St""229",60
"22","3","229","""Fulton St""229","228","""Park Pl""228",150
"23","3","228","""Park Pl""228","137","""Chambers St""137",60
"24","3","137","""Chambers St""137","132","""14 St""132",270
"25","3","132","""14 St""132","128","""34 St - Penn Station""128",150
"26","3","128","""34 St - Penn Station""128","127","""Times Sq - 42 St""127",60
"27","3","127","""Times Sq - 42 St""127","123","""72 St""123",240
"28","3","123","""72 St""123","120","""96 St""120",180
"29","3","120","""96 St""120","227","""Central Park North (110 St)""227",240
"30","3","227","""Central Park North (110 St)""227","226","""116 St""226",60
"31","3","226","""116 St""226","225","""125 St""225",90
"32","3","225","""125 St""225","224","""135 St""224",90
"33","3","224","""135 St""224","302","""145 St""302",120
"34","3","302","""145 St""302","301","""Harlem - 148 St""301",120
"36","4","401","""Woodlawn""401","402","""Mosholu Pkwy""402",120
"37","4","402","""Mosholu Pkwy""402","405","""Bedford Park Blvd - Lehman College""405",120
"38","4","405","""Bedford Park Blvd - Lehman College""405","406","""Kingsbridge Rd""406",120
"39","4","406","""Kingsbridge Rd""406","407","""Fordham Rd""407",60
"40","4","407","""Fordham Rd""407","408","""183 St""408",60
"41","4","408","""183 St""408","409","""Burnside Av""409",90
"42","4","409","""Burnside Av""409","410","""176 St""410",90
"43","4","410","""176 St""410","411","""Mt Eden Av""411",90
"44","4","411","""Mt Eden Av""411","412","""170 St""412",60
"45","4","412","""170 St""412","413","""167 St""413",90
"46","4","413","""167 St""413","414","""161 St - Yankee Stadium""414",120
"47","4","414","""161 St - Yankee Stadium""414","415","""149 St - Grand Concourse""415",180
"48","4","415","""149 St - Grand Concourse""415","416","""138 St - Grand Concourse""416",120
"49","4","416","""138 St - Grand Concourse""416","621","""125 St""621",150
"50","4","621","""125 St""621","626","""86 St""626",270
"51","4","626","""86 St""626","629","""59 St""629",210
"52","4","629","""59 St""629","631","""Grand Central - 42 St""631",150
"53","4","631","""Grand Central - 42 St""631","635","""14 St - Union Sq""635",210
"54","4","635","""14 St - Union Sq""635","640","""Brooklyn Bridge - City Hall""640",270
"55","4","640","""Brooklyn Bridge - City Hall""640","418","""Fulton St""418",90
"56","4","418","""Fulton St""418","419","""Wall St""419",90
