"","Train","FromStationID","FromStation","ToStationID","ToStation","TimeTravel"
"2","1","101","""Van Cortlandt Park - 242 St""101","103","""238 St""103",90
"3","1","103","""238 St""103","104","""231 St""104",90
"4","1","104","""231 St""104","106","""Marble Hill - 225 St""106",90
"5","1","106","""Marble Hill - 225 St""106","107","""215 St""107",90
"6","1","107","""215 St""107","108","""207 St""108",60
"7","1","108","""207 St""108","109","""Dyckman St""109",90
"8","1","109","""Dyckman St""109","110","""191 St""110",90
"9","1","110","""191 St""110","111","""181 St""111",90
"10","1","111","""181 St""111","112","""168 St - Washington Hts""112",120
"11","1","112","""168 St - Washington Hts""112","113","""157 St""113",90
"12","1","113","""157 St""113","114","""145 St""114",120
"13","1","114","""145 St""114","115","""137 St - City College""115",90
"14","1","115","""137 St - City College""115","116","""125 St""116",90
"15","1","116","""125 St""116","117","""116 St - Columbia University""117",150
"16","1","117","""116 St - Columbia University""117","118","""Cathedral Pkwy""118",60
"17","1","118","""Cathedral Pkwy""118","119","""103 St""119",60
"18","1","119","""103 St""119","120","""96 St""120",120
"19","1","120","""96 St""120","121","""86 St""121",120
"20","1","121","""86 St""121","122","""79 St""122",60
"21","1","122","""79 St""122","123","""72 St""123",90
"22","1","123","""72 St""123","124","""66 St - Lincoln Center""124",90
"23","1","124","""66 St - Lincoln Center""124","125","""59 St - Columbus Circle""125",90
"24","1","125","""59 St - Columbus Circle""125","126","""50 St""126",120
"25","1","126","""50 St""126","127","""Times Sq - 42 St""127",90
"26","1","127","""Times Sq - 42 St""127","128","""34 St - Penn Station""128",90
"27","1","128","""34 St - Penn Station""128","129","""28 St""129",90
"28","1","129","""28 St""129","130","""23 St""130",60
"29","1","130","""23 St""130","131","""18 St""131",60
"30","1","131","""18 St""131","132","""14 St""132",60
"31","1","132","""14 St""132","133","""Christopher St - Sheridan Sq""133",90
"32","1","133","""Christopher St - Sheridan Sq""133","134","""Houston St""134",90
"33","1","134","""Houston St""134","135","""Canal St""135",90
"34","1","135","""Canal St""135","136","""Franklin St""136",60
"35","1","136","""Franklin St""136","137","""Chambers St""137",210
"36","1","137","""Chambers St""137","138","""Cortlandt St""138",210
"37","1","138","""Cortlandt St""138","139","""Rector St""139",150
"38","1","139","""Rector St""139","140","""South Ferry Loop""140",210
"40","2","201","""Wakefield - 241 St""201","204","""Nereid Av""204",90
"41","2","204","""Nereid Av""204","205","""233 St""205",90
"42","2","205","""233 St""205","206","""225 St""206",90
"43","2","206","""225 St""206","207","""219 St""207",60
"44","2","207","""219 St""207","208","""Gun Hill Rd""208",90
"45","2","208","""Gun Hill Rd""208","209","""Burke Av""209",90
"46","2","209","""Burke Av""209","210","""Allerton Av""210",90
"47","2","210","""Allerton Av""210","211","""Pelham Pkwy""211",120
"48","2","211","""Pelham Pkwy""211","212","""Bronx Park East""212",120
"49","2","212","""Bronx Park East""212","213","""E 180 St""213",120
"50","2","213","""E 180 St""213","214","""West Farms Sq - E Tremont Av""214",90
"51","2","214","""West Farms Sq - E Tremont Av""214","215","""174 St""215",120
"52","2","215","""174 St""215","216","""Freeman St""216",150
"53","2","216","""Freeman St""216","217","""Simpson St""217",90
"54","2","217","""Simpson St""217","218","""Intervale Av""218",60
"55","2","218","""Intervale Av""218","219","""Prospect Av""219",90
"56","2","219","""Prospect Av""219","220","""Jackson Av""220",90
"57","2","220","""Jackson Av""220","221","""3 Av - 149 St""221",150
"58","2","221","""3 Av - 149 St""221","222","""149 St - Grand Concourse""222",120
"59","2","222","""149 St - Grand Concourse""222","224","""135 St""224",210
"60","2","224","""135 St""224","225","""125 St""225",120
"61","2","225","""125 St""225","226","""116 St""226",90
