"","Train","FromStopID","FromStation","FromLine","ToStopID","ToStation","ToLine","TravelTime"
"2","3","257","""New Lots Av""","34","256","""Van Siclen Av""","34",90
"3","3","256","""Van Siclen Av""","34","255","""Pennsylvania Av""","34",60
"4","3","255","""Pennsylvania Av""","34","254","""Junius St""","34",90
"5","3","254","""Junius St""","34","253","""Rockaway Av""","34",60
"6","3","253","""Rockaway Av""","34","252","""Saratoga Av""","34",120
"7","3","252","""Saratoga Av""","34","251","""Sutter Av - Rutland Rd""","34",90
"8","3","251","""Sutter Av - Rutland Rd""","34","250","""Crown Hts - Utica Av""","345",210
"9","3","250","""Crown Hts - Utica Av""","345","249","""Kingston Av""","34",180
"10","3","249","""Kingston Av""","34","248","""Nostrand Av""","34",90
"11","3","248","""Nostrand Av""","34","239","""Franklin Av""","2345",90
"12","3","239","""Franklin Av""","2345","238","""Eastern Pkwy - Brooklyn Museum""","234",90
"13","3","238","""Eastern Pkwy - Brooklyn Museum""","234","237","""Grand Army Plaza""","234",120
"14","3","237","""Grand Army Plaza""","234","236","""Bergen St""","234",120
"15","3","236","""Bergen St""","234","235","""Atlantic Av - Barclays Ctr""","2345",60
"16","3","235","""Atlantic Av - Barclays Ctr""","2345","234","""Nevins St""","2345",90
"17","3","234","""Nevins St""","2345","233","""Hoyt St""","23",90
"18","3","233","""Hoyt St""","23","232","""Borough Hall""","23",90
"19","3","232","""Borough Hall""","23","231","""Clark St""","23",90
"20","3","231","""Clark St""","23","230","""Wall St""","23",180
"21","3","230","""Wall St""","23","229","""Fulton St""","23",60
"22","3","229","""Fulton St""","23","228","""Park Pl""","23",150
"23","3","228","""Park Pl""","23","137","""Chambers St""","123",60
"24","3","137","""Chambers St""","123","132","""14 St""","123",270
"25","3","132","""14 St""","123","128","""34 St - Penn Station""","123",150
"26","3","128","""34 St - Penn Station""","123","127","""Times Sq - 42 St""","123",60
"27","3","127","""Times Sq - 42 St""","123","123","""72 St""","123",240
"28","3","123","""72 St""","123","120","""96 St""","123",180
"29","3","120","""96 St""","123","227","""Central Park North (110 St)""","23",240
"30","3","227","""Central Park North (110 St)""","23","226","""116 St""","23",60
"31","3","226","""116 St""","23","225","""125 St""","23",90
"32","3","225","""125 St""","23","224","""135 St""","23",90
"33","3","224","""135 St""","23","302","""145 St""","3",120
"34","3","302","""145 St""","3","301","""Harlem - 148 St""","3",120
"36","4","401","""Woodlawn""","4","402","""Mosholu Pkwy""","4",120
"37","4","402","""Mosholu Pkwy""","4","405","""Bedford Park Blvd - Lehman College""","4",120
"38","4","405","""Bedford Park Blvd - Lehman College""","4","406","""Kingsbridge Rd""","4",120
"39","4","406","""Kingsbridge Rd""","4","407","""Fordham Rd""","4",60
"40","4","407","""Fordham Rd""","4","408","""183 St""","4",60
"41","4","408","""183 St""","4","409","""Burnside Av""","4",90
"42","4","409","""Burnside Av""","4","410","""176 St""","4",90
"43","4","410","""176 St""","4","411","""Mt Eden Av""","4",90
"44","4","411","""Mt Eden Av""","4","412","""170 St""","4",60
"45","4","412","""170 St""","4","413","""167 St""","4",90
"46","4","413","""167 St""","4","414","""161 St - Yankee Stadium""","4",120
"47","4","414","""161 St - Yankee Stadium""","4","415","""149 St - Grand Concourse""","4",180
"48","4","415","""149 St - Grand Concourse""","4","416","""138 St - Grand Concourse""","45",120
"49","4","416","""138 St - Grand Concourse""","45","621","""125 St""","4566X",150
"50","4","621","""125 St""","4566X","626","""86 St""","4566X",270
"51","4","626","""86 St""","4566X","629","""59 St""","4566X",210
"52","4","629","""59 St""","4566X","631","""Grand Central - 42 St""","4566X",150
"53","4","631","""Grand Central - 42 St""","4566X","635","""14 St - Union Sq""","4566X",210
"54","4","635","""14 St - Union Sq""","4566X","640","""Brooklyn Bridge - City Hall""","4566X6X",270
"55","4","640","""Brooklyn Bridge - City Hall""","4566X6X","418","""Fulton St""","45",90
"56","4","418","""Fulton St""","45","419","""Wall St""","45",90
"57","4","419","""Wall St""","45","420","""Bowling Green""","45",60
"58","4","420","""Bowling Green""","45","423","""Borough Hall""","45",300
"59","4","423","""Borough Hall""","45","234","""Nevins St""","2345",90
"60","4","234","""Nevins St""","2345","235","""Atlantic Av - Barclays Ctr""","2345",90
"61","4","235","""Atlantic Av - Barclays Ctr""","2345","236","""Bergen St""","234",60
"62","4","236","""Bergen St""","234","237","""Grand Army Plaza""","234",120
"63","4","237","""Grand Army Plaza""","234","238","""Eastern Pkwy - Brooklyn Museum""","234",120
"64","4","238","""Eastern Pkwy - Brooklyn Museum""","234","239","""Franklin Av""","2345",90
"65","4","239","""Franklin Av""","2345","248","""Nostrand Av""","34",90
"66","4","248","""Nostrand Av""","34","249","""Kingston Av""","34",90
"67","4","249","""Kingston Av""","34","250","""Crown Hts - Utica Av""","345",720
"68","4","250","""Crown Hts - Utica Av""","345","251","""Sutter Av - Rutland Rd""","34",750
"69","4","251","""Sutter Av - Rutland Rd""","34","252","""Saratoga Av""","34",90
"70","4","252","""Saratoga Av""","34","253","""Rockaway Av""","34",120
"71","4","253","""Rockaway Av""","34","254","""Junius St""","34",60
"72","4","254","""Junius St""","34","255","""Pennsylvania Av""","34",90
"73","4","255","""Pennsylvania Av""","34","256","""Van Siclen Av""","34",60
"74","4","256","""Van Siclen Av""","34","257","""New Lots Av""","34",90
"75","4","257","""New Lots Av""","34","416","""138 St - Grand Concourse""","45",150
"76","4","416","""138 St - Grand Concourse""","45","415","""149 St - Grand Concourse""","4",120
"77","4","415","""149 St - Grand Concourse""","4","414","""161 St - Yankee Stadium""","4",150
"78","4","414","""161 St - Yankee Stadium""","4","413","""167 St""","4",90
"79","4","413","""167 St""","4","412","""170 St""","4",90
"80","4","412","""170 St""","4","411","""Mt Eden Av""","4",60
"81","4","411","""Mt Eden Av""","4","410","""176 St""","4",60
"82","4","410","""176 St""","4","409","""Burnside Av""","4",690
"83","4","409","""Burnside Av""","4","408","""183 St""","4",690
"84","4","408","""183 St""","4","407","""Fordham Rd""","4",60
"85","4","407","""Fordham Rd""","4","406","""Kingsbridge Rd""","4",90
"86","4","406","""Kingsbridge Rd""","4","405","""Bedford Park Blvd - Lehman College""","4",120
"87","4","405","""Bedford Park Blvd - Lehman College""","4","402","""Mosholu Pkwy""","4",120
"88","4","402","""Mosholu Pkwy""","4","401","""Woodlawn""","4",120
"90","5","204","""Nereid Av""","25","205","""233 St""","25",90
"91","5","205","""233 St""","25","206","""225 St""","25",90
"92","5","206","""225 St""","25","207","""219 St""","25",60
"93","5","207","""219 St""","25","208","""Gun Hill Rd""","25",120
"94","5","208","""Gun Hill Rd""","25","209","""Burke Av""","25",90
"95","5","209","""Burke Av""","25","210","""Allerton Av""","25",90
"96","5","210","""Allerton Av""","25","211","""Pelham Pkwy""","25",120
