"","train","train_stop","stop_id","station_name","time_travel","station","line_name"
"1","SI","SI022","S31","""St George""S31",180,"""St George""","SI"
"2","SI","SI020","S29","""Stapleton""S29",120,"""Stapleton""","SI"
"3","SI","SI017","S26","""Old Town""S26",120,"""Old Town""","SI"
"4","SI","SI014","S23","""Grant City""S23",120,"""Grant City""","SI"
"5","SI","SI013","S22","""New Dorp""S22",120,"""New Dorp""","SI"
"6","SI","SI012","S21","""Oakwood Heights""S21",120,"""Oakwood Heights""","SI"
"7","SI","SI010","S19","""Great Kills""S19",120,"""Great Kills""","SI"
"8","SI","SI08","S17","""Annadale""S17",120,"""Annadale""","SI"
"9","SI","SI06","S15","""Prince's Bay""S15",120,"""Prince's Bay""","SI"
"10","SI","SI03","S12","""Nassau""S12",60,"""Nassau""","SI"
"11","SI","SI02","S10","""Atlantic""S10",120,"""Atlantic""","SI"
"12","SI","SI01","S09","""Tottenville""S09",0,"""Tottenville""","SI"
"13","R","R039","R39","""45 St""R39",120,"""45 St""","NR"
"14","R","R036","R34","""Prospect Av""R34",120,"""Prospect Av""","DNR"
"15","R","R035","R33","""9 St""R33",90,"""9 St""","DNR"
"16","R","R034","R32","""Union St""R32",120,"""Union St""","DNR"
"17","R","R030","R28","""Court St""R28",210,"""Court St""","NR"
"18","R","R027","R25","""Cortlandt St""R25",120,"""Cortlandt St""","NR"
"19","Q","Q030","D38","""Neck Rd""D38",60,"""Neck Rd""","Q"
"20","Q","Q029","D37","""Avenue U""D37",150,"""Avenue U""","Q"
"21","Q","Q027","D34","""Avenue M""D34",90,"""Avenue M""","Q"
"22","Q","Q026","D33","""Avenue J""D33",90,"""Avenue J""","Q"
"23","Q","Q025","D32","""Avenue H""D32",60,"""Avenue H""","Q"
"24","Q","Q023","D30","""Cortelyou Rd""D30",60,"""Cortelyou Rd""","Q"
"25","Q","Q022","D29","""Beverley Rd""D29",90,"""Beverley Rd""","Q"
"26","Q","Q020","D27","""Parkside Av""D27",90,"""Parkside Av""","Q"
"27","N","N028","N07","""Bay Pkwy""N07",90,"""Bay Pkwy""","N"
"28","N","N015","R19","""23 St""R19",90,"""23 St""","NQR"
"29","R","R021","R19","""23 St""R19",90,"""23 St""","NQR"
"30","N","N014","R18","""28 St""R18",60,"""28 St""","NQR"
"31","R","R020","R18","""28 St""R18",60,"""28 St""","NQR"
"32","N","N09","R13","""5 Av/59 St""R13",90,"""5 Av/59 St""","NR"
"33","Q","Q09","R13","""5 Av/59 St""R13",90,"""5 Av/59 St""","NR"
"34","R","R015","R13","""5 Av/59 St""R13",90,"""5 Av/59 St""","NR"
"35","N","N08","R11","""Lexington Av/59 St""R11",300,"""Lexington Av/59 St""","NR"
"36","Q","Q08","R11","""Lexington Av/59 St""R11",360,"""Lexington Av/59 St""","NR"
