"","station","station_id","line_name","entry_exits_period","mean_hourly_entries","mean_hourly_exits"
"1","1 AVE","L06","L","0:4",393.225,327.325
"2","1 AVE","L06","L","12:16",974.7,982.425
"3","1 AVE","L06","L","16:20",1673.7,1708.5
"4","1 AVE","L06","L","20:0",1113.575,1334.375
"5","1 AVE","L06","L","4:8",162.35,303.825
"6","1 AVE","L06","L","8:12",1205.15,1302.375
"7","103 ST","119","1","0:4",369.375,315.275
"8","103 ST","119","1","12:16",694.575,290.325
"9","103 ST","119","1","16:20",747.75,496.225
"10","103 ST","119","1","4:8",281.95,81.625
"11","103 ST","119","1","8:12",929.75,219.65
"12","103 ST","624","6","0:4",317.875,518.575
"13","103 ST","624","6","12:16",883.575,671.325
"14","103 ST","624","6","16:20",993.775,936.425
"15","103 ST","624","6","4:8",425.975,296.35
"16","103 ST","624","6","8:12",927.8,579.425
"17","103 ST","A18","ABC","0:4",96.225,195.75
"18","103 ST","A18","ABC","12:16",225.3,173.825
"19","103 ST","A18","ABC","16:20",244.625,294.275
"20","103 ST","A18","ABC","4:8",128.025,49.425
"21","103 ST","A18","ABC","8:12",357.65,113.675
"22","103 ST-CORONA","706","7","0:4",70.675,378.75
"23","103 ST-CORONA","706","7","12:16",724.675,489.8
"24","103 ST-CORONA","706","7","16:20",756,1236.575
"25","103 ST-CORONA","706","7","20:0",330.075,764.825
"26","103 ST-CORONA","706","7","4:8",834.15,97.625
"27","103 ST-CORONA","706","7","8:12",1702.2,299.9
"28","104 ST","J14","JZ","0:4",9.6,22.45
"29","104 ST","J14","JZ","12:16",84.45,48.45
"30","104 ST","J14","JZ","16:20",80.375,129.45
"31","104 ST","J14","JZ","20:0",36.325,80.025
"32","104 ST","J14","JZ","4:8",92.1,9.95
"33","104 ST","J14","JZ","8:12",187.2,38.2
"34","110 ST","623","6","0:4",69.475,161.975
"35","110 ST","623","6","12:16",565.125,378.95
"36","110 ST","623","6","16:20",702.025,690.375
"37","110 ST","623","6","20:0",297.925,427.25
"38","110 ST","623","6","4:8",177.95,87.35
"39","110 ST","623","6","8:12",881.775,400.375
"40","111 ST","705","7","0:4",38.75,187.475
"41","111 ST","705","7","12:16",424.05,228.6
"42","111 ST","705","7","16:20",427.425,515.475
"43","111 ST","705","7","20:0",163.975,394.35
"44","111 ST","705","7","4:8",513.25,55.7
"45","111 ST","705","7","8:12",956.625,150.775
"46","111 ST","J13","J","0:4",10.675,18.85
"47","111 ST","J13","J","12:16",113.025,55.1
"48","111 ST","J13","J","16:20",132.175,131.2
"49","111 ST","J13","J","20:0",42.075,68.225
"50","111 ST","J13","J","4:8",77.275,11.025
"51","111 ST","J13","J","8:12",187.45,58.6
"52","116 ST","226","23","0:4",323.525,216.2
"53","116 ST","226","23","12:16",601.35,247.875
"54","116 ST","226","23","16:20",655.425,397.7
"55","116 ST","226","23","4:8",317.375,89.55
