"","station","station_id","entry_exits_period","hourly_entries","hourly_exits"
"1","1 AVE","L06","0:4",3932.25,3273.25
"2","1 AVE","L06","12:16",9747,9824.25
"3","1 AVE","L06","16:20",16737,17085
"4","1 AVE","L06","20:0",11135.75,13343.75
"5","1 AVE","L06","4:8",1623.5,3038.25
"6","1 AVE","L06","8:12",12051.5,13023.75
"7","103 ST","119","0:4",3693.75,3152.75
"8","103 ST","119","12:16",6945.75,2903.25
"9","103 ST","119","16:20",7477.5,4962.25
"10","103 ST","119","4:8",2819.5,816.25
"11","103 ST","119","8:12",9297.5,2196.5
"12","103 ST","624","0:4",3178.75,5185.75
"13","103 ST","624","12:16",8835.75,6713.25
"14","103 ST","624","16:20",9937.75,9364.25
"15","103 ST","624","4:8",4259.75,2963.5
"16","103 ST","624","8:12",9278,5794.25
"17","103 ST","A18","0:4",962.25,1957.5
"18","103 ST","A18","12:16",2253,1738.25
"19","103 ST","A18","16:20",2446.25,2942.75
"20","103 ST","A18","4:8",1280.25,494.25
"21","103 ST","A18","8:12",3576.5,1136.75
"22","103 ST-CORONA","706","0:4",706.75,3787.5
"23","103 ST-CORONA","706","12:16",7246.75,4898
"24","103 ST-CORONA","706","16:20",7560,12365.75
"25","103 ST-CORONA","706","20:0",3300.75,7648.25
"26","103 ST-CORONA","706","4:8",8341.5,976.25
"27","103 ST-CORONA","706","8:12",17022,2999
"28","104 ST","J14","0:4",96,224.5
"29","104 ST","J14","12:16",844.5,484.5
"30","104 ST","J14","16:20",803.75,1294.5
"31","104 ST","J14","20:0",363.25,800.25
"32","104 ST","J14","4:8",921,99.5
"33","104 ST","J14","8:12",1872,382
"34","110 ST","623","0:4",694.75,1619.75
"35","110 ST","623","12:16",5651.25,3789.5
"36","110 ST","623","16:20",7020.25,6903.75
"37","110 ST","623","20:0",2979.25,4272.5
"38","110 ST","623","4:8",1779.5,873.5
"39","110 ST","623","8:12",8817.75,4003.75
"40","111 ST","705","0:4",387.5,1874.75
"41","111 ST","705","12:16",4240.5,2286
"42","111 ST","705","16:20",4274.25,5154.75
"43","111 ST","705","20:0",1639.75,3943.5
"44","111 ST","705","4:8",5132.5,557
"45","111 ST","705","8:12",9566.25,1507.75
"46","111 ST","J13","0:4",106.75,188.5
"47","111 ST","J13","12:16",1130.25,551
"48","111 ST","J13","16:20",1321.75,1312
"49","111 ST","J13","20:0",420.75,682.25
"50","111 ST","J13","4:8",772.75,110.25
"51","111 ST","J13","8:12",1874.5,586
"52","116 ST","226","0:4",3235.25,2162
"53","116 ST","226","12:16",6013.5,2478.75
"54","116 ST","226","16:20",6554.25,3977
"55","116 ST","226","4:8",3173.75,895.5
"56","116 ST","226","8:12",7247.75,1792.5
"57","116 ST","622","0:4",3823.75,3620.5
"58","116 ST","622","12:16",9022.5,4369.25
"59","116 ST","622","16:20",9045.5,5983
"60","116 ST","622","4:8",4627.75,1955.75
"61","116 ST","622","8:12",9403.5,3999
"62","116 ST","A16","0:4",1836.75,2384.5
"63","116 ST","A16","12:16",3562.5,2646.5
"64","116 ST","A16","16:20",3989,4134.5
"65","116 ST","A16","4:8",1652,999
"66","116 ST","A16","8:12",4425.75,2068
"67","116 ST-COLUMBIA","117","0:4",2328.75,1230
"68","116 ST-COLUMBIA","117","12:16",5988.5,2368.5
"69","116 ST-COLUMBIA","117","16:20",9580.25,2024.5
"70","116 ST-COLUMBIA","117","4:8",751.5,1080.75
"71","116 ST-COLUMBIA","117","8:12",3650.5,4414.75
"72","121 ST","J12","0:4",171.5,165.75
"73","121 ST","J12","12:16",876.25,521.75
"74","121 ST","J12","16:20",1290,1212.75
"75","121 ST","J12","20:0",560.25,589.25
"76","121 ST","J12","4:8",669.75,167.75
"77","121 ST","J12","8:12",1626.25,538.25
"78","125 ST","116","0:4",650.25,1185.5
"79","125 ST","116","12:16",3895.25,3019.5
"80","125 ST","116","16:20",5113,5483.25
"81","125 ST","116","20:0",2353.75,3868.5
"82","125 ST","116","4:8",838,1064.5
"83","125 ST","116","8:12",4285,2893.5
"84","125 ST","225","0:4",4691.5,1899.5
"85","125 ST","225","12:16",8825.75,2780
"86","125 ST","225","16:20",10578.25,3323.75
"87","125 ST","225","4:8",2623.25,1405.5
"88","125 ST","225","8:12",7177,3164.25
"89","125 ST","621","0:4",6661,9975.75
"90","125 ST","621","12:16",13119.5,11722.25
"91","125 ST","621","16:20",15208.5,13201.25
"92","125 ST","621","4:8",6957.75,7170
"93","125 ST","621","8:12",12946.75,11677
"94","125 ST","A15","0:4",2086,2871.75
"95","125 ST","A15","12:16",12436,9887.75
"96","125 ST","A15","16:20",18996,15572.25
