"hoyt st" [0, '"hoyt st"']
"morris park" [0, '"morris park"']
"bowery" [0, '"bowery"']
"183 st" [0, '"183 st"']
"157 st" [0, '"157 st"']
"junction blvd" [0, '"junction blvd"']
"grand st" [0, '"grand st"']
"96 st" [0, '"96 st"']
"176 st" [0, '"176 st"']
"cleveland st" [0, '"cleveland st"']
"e 149 st" [0, '"e 149 st"']
"181 st" [0, '"181 st"']
"55 st" [0, '"55 st"']
"carroll st" [0, '"carroll st"']
"231 st" [0, '"231 st"']
"whitehall st" [0, '"whitehall st"']
"219 st" [0, '"219 st"']
"fulton st" [0, '"fulton st"']
"beach 98 st" [0, '"beach 98 st"']
"chambers st" [0, '"chambers st"']
"northern blvd" [0, '"northern blvd"']
"103 st" [0, '"103 st"']
"pennsylvania av" [0, '"pennsylvania av"']
"111 st" [0, '"111 st"']
"145 st" [0, '"145 st"']
"york st" [0, '"york st"']
"beach 105 st" [0, '"beach 105 st"']
"169 st" [0, '"169 st"']
"kosciuszko st" [0, '"kosciuszko st"']
"halsey st" [0, '"halsey st"']
"23 st" [0, '"23 st"']
"jefferson st" [0, '"jefferson st"']
"junius st" [0, '"junius st"']
"president st" [0, '"president st"']
"46 st" [0, '"46 st"']
"canal st" [0, '"canal st"']
"77 st" [0, '"77 st"']
"51 st" [0, '"51 st"']
"9 st" [0, '"9 st"']
"sterling st" [0, '"sterling st"']
"city hall" [0, '"city hall"']
"tompkinsville" [0, '"tompkinsville"']
"freeman st" [0, '"freeman st"']
"170 st" [0, '"170 st"']
"pelham bay park" [0, '"pelham bay park"']
"215 st" [0, '"215 st"']
"beach 90 st" [0, '"beach 90 st"']
"houston st" [0, '"houston st"']
"winthrop st" [0, '"winthrop st"']
"sheepshead bay" [0, '"sheepshead bay"']
"wall st" [0, '"wall st"']
"36 st" [0, '"36 st"']
"parsons blvd" [0, '"parsons blvd"']
"spring st" [0, '"spring st"']
"14 st" [0, '"14 st"']
"57 st" [0, '"57 st"']
"33 st" [0, '"33 st"']
"lorimer st" [0, '"lorimer st"']
"71 st" [0, '"71 st"']
"bleecker st" [0, '"bleecker st"']
"59 st" [0, '"59 st"']
"233 st" [0, '"233 st"']
"e 180 st" [0, '"e 180 st"']
"175 st" [0, '"175 st"']
"238 st" [0, '"238 st"']
"28 st" [0, '"28 st"']
"155 st" [0, '"155 st"']
"union st" [0, '"union st"']
"broadway" [0, '"broadway"']
"nevins st" [0, '"nevins st"']
"high st" [0, '"high st"']
"rector st" [0, '"rector st"']
"cortlandt st" [0, '"cortlandt st"']
"beach 67 st" [0, '"beach 67 st"']
"207 st" [0, '"207 st"']
"225 st" [0, '"225 st"']
"116 st" [0, '"116 st"']
"beach 25 st" [0, '"beach 25 st"']
"110 st" [0, '"110 st"']
"kingsbridge rd" [0, '"kingsbridge rd"']
"cypress hills" [0, '"cypress hills"']
"125 st" [0, '"125 st"']
"delancey st" [0, '"delancey st"']
"rockaway blvd" [0, '"rockaway blvd"']
"dyckman st" [0, '"dyckman st"']
"prospect park" [0, '"prospect park"']
"79 st" [0, '"79 st"']
"121 st" [0, '"121 st"']
"50 st" [0, '"50 st"']
"queens plaza" [0, '"queens plaza"']
"191 st" [0, '"191 st"']
"beach 36 st" [0, '"beach 36 st"']
"bay 50 st" [0, '"bay 50 st"']
"bergen st" [0, '"bergen st"']
"65 st" [0, '"65 st"']
"167 st" [0, '"167 st"']
"beach 44 st" [0, '"beach 44 st"']
"broad st" [0, '"broad st"']
"104 st" [0, '"104 st"']
"brighton beach" [0, '"brighton beach"']
"25 st" [0, '"25 st"']
"crescent st" [0, '"crescent st"']
"botanic garden" [0, '"botanic garden"']
"newkirk plaza" [0, '"newkirk plaza"']
"72 st" [0, '"72 st"']
"essex st" [0, '"essex st"']
"45 st" [0, '"45 st"']
"53 st" [0, '"53 st"']
"174 st" [0, '"174 st"']
"21 st" [0, '"21 st"']
"franklin st" [0, '"franklin st"']
"135 st" [0, '"135 st"']
"simpson st" [0, '"simpson st"']
"nassau av" [0, '"nassau av"']
"sutphin blvd" [0, '"sutphin blvd"']
"bronx park east" [0, '"bronx park east"']
"beach 60 st" [0, '"beach 60 st"']
"clark st" [0, '"clark st"']
"broad channel" [0, '"broad channel"']
"east broadway" [0, '"east broadway"']
"190 st" [0, '"190 st"']
"86 st" [0, '"86 st"']
"metropolitan av" [0, '"metropolitan av"']
"chauncey st" [0, '"chauncey st"']
"court sq" [0, '"court sq"']
"18 st" [0, '"18 st"']
"bowling green" [0, '"bowling green"']
"steinway st" [0, '"steinway st"']
"woodhaven blvd" [0, '"woodhaven blvd"']
"hewes st" [0, '"hewes st"']
"myrtle - willoughby avs" [8, '"myrtle-willough"']
"sutphin blvd - archer av - jfk airport" [26, '"sutphin blvd"']
"borough hall" [3, '"borough hall/ct"']
"morris park" [5, '"morrison ave"']
"77 st" [1, '"57 st"']
"157 st" [1, '"155 st"']
"avenue u" [3, '"ave u"']
"3 av" [1, '"3 ave"']
"182-183 sts" [1, '"182-183 st"']
"van siclen av" [1, '"van siclen ave"']
"cleveland st" [6, '"bleecker st"']
"fordham rd" [2, '"fordham road"']
"181 st" [1, '"111 st"']
"55 st" [1, '"155 st"']
"clinton - washington avs" [9, '"clinton-wash av"']
"neptune av" [1, '"neptune ave"']
"kingston av" [1, '"kingston ave"']
"elder av" [1, '"elder ave"']
"eastchester - dyre av" [11, '"baychester ave"']
"15 st - prospect park" [7, '"15 st-prospect"']
"beach 105 st" [5, '"bay 50 st"']
"longwood av" [1, '"longwood ave"']
"74 st - broadway" [2, '"74 st-broadway"']
"69 st" [1, '"169 st"']
"knickerbocker av" [3, '"knickerbocker"']
"intervale av" [4, '"intervale-163"']
"avenue n" [3, '"ave n"']
"ralph av" [1, '"ralph ave"']
"halsey st" [4, '"chauncey st"']
"23 st" [1, '"21 st"']
"greenpoint av" [1, '"greenpoint ave"']
"46 st" [1, '"36 st"']
"nereid av" [1, '"nereid ave"']
"atlantic av - barclays ctr" [15, '"atlantic ave"']
"51 st" [1, '"21 st"']
"grand av - newtown" [3, '"grand av-newton"']
"39 av" [2, '"3 ave"']
"pelham bay park" [10, '"22 ave-bay pky"']
"149 st - grand concourse" [10, '"149 st-gr conc"']
"van cortlandt park - 242 st" [15, '"cortlandt st"']
"burnside av" [1, '"burnside ave"']
"old town" [6, '"ave n"']
"spring st" [4, '"grand st"']
"court st" [1, '"court sq"']
"59 st" [1, '"50 st"']
"81 st - museum of natural history" [21, '"81 st-museum"']
"jamaica center - parsons/archer" [17, '"jamaica center"']
"238 st" [1, '"231 st"']
"42 st - port authority bus terminal" [20, '"42 st-pa bus te"']
"2 av" [1, '"2 ave"']
"88 st" [1, '"18 st"']
"59 st - columbus circle" [9, '"59 st-columbus"']
"34 st - penn station" [6, '"34 st-penn sta"']
"south ferry loop" [5, '"south ferry"']
"far rockaway - mott av" [10, '"far rockaway"']
"grand army plaza" [1, '"grand army plaz"']
"14 st - union sq" [2, '"14 st-union sq"']
"aqueduct - n conduit av" [8, '"aqueduct-n cndt"']
"bedford park blvd - lehman college" [19, '"bedford park bl"']
"woodside - 61 st" [9, '"president st"']
"park pl" [3, '"park place"']
"hunters point av" [3, '"hunts point ave"']
"rockaway blvd" [3, '"rockaway ave"']
"prospect park" [3, '"prospect ave"']
"shepherd av" [1, '"shepherd ave"']
"queens plaza" [6, '"queensboro plz"']
"avenue x" [3, '"ave x"']
"whitlock av" [1, '"whitlock ave"']
"191 st" [1, '"111 st"']
"avenue j" [3, '"ave j"']
"161 st - yankee stadium" [10, '"161 st-yankee"']
"116 st - columbia university" [13, '"116 st-columbia"']
"lexington av/53 st" [4, '"lexington-53 st"']
"flushing av" [1, '"flushing ave"']
"west farms sq - e tremont av" [17, '"e tremont ave"']
"kings hwy" [4, '"kings highway"']
"cortelyou rd" [2, '"cortelyou road"']
"25 st" [1, '"125 st"']
"40 st" [1, '"45 st"']
"20 av" [1, '"20 ave"']
"9 av" [1, '"9 ave"']
"crescent st" [5, '"bergen st"']
"briarwood - van wyck blvd" [12, '"van wyck blvd"']
"botanic garden" [8, '"atlantic ave"']
"inwood - 207 st" [2, '"inwood-207 st"']
"34 st - herald sq" [2, '"34 st-herald sq"']
"ozone park - lefferts blvd" [13, '"lefferts blvd"']
"eastern pkwy - brooklyn museum" [18, '"eastern pkwy"']
"53 st" [1, '"23 st"']
"brooklyn bridge - city hall" [12, '"brooklyn bridge"']
"1 av" [1, '"1 ave"']
"21 st" [1, '"121 st"']
"alabama av" [1, '"alabama ave"']
"cypress av" [1, '"cypress ave"']
"nassau av" [5, '"classon ave"']
"myrtle - wyckoff avs" [11, '"myrtle ave"']
"broad channel" [9, '"barclays center"']
"beverley rd" [2, '"beverley road"']
"e 143 st - st mary's st" [13, '"40 st-lowery st"']
"metropolitan av" [9, '"e tremont ave"']
"court sq" [4, '"clark st"']
"new utrecht av" [1, '"new utrecht ave"']
"grant av" [1, '"grant ave"']
"smith - 9 sts" [3, '"smith-9 st"']
"63 dr - rego park" [2, '"63 dr-rego park"']
"steinway st" [5, '"spring st"']
"5 av" [2, '"1 ave"']
"hunts point av" [1, '"hunts point ave"']
"hoyt st" [3, '"high st"']
"jackson av" [1, '"jackson ave"']
"cathedral pkwy" [6, '"eastern pkwy"']
"bowery" [5, '"ave h"']
"183 st" [1, '"103 st"']
"gun hill rd" [2, '"gun hill road"']
"96 st" [1, '"36 st"']
"rockaway park - beach 116 st" [13, '"rockaway pk 116"']
"morgan av" [1, '"morgan ave"']
"burke av" [1, '"burke ave"']
"7 av" [1, '"7 ave"']
