 "1 av" ,-1,  "1 av
 "103 st - corona plaza" ,5,  "103 st-corona"
 "103 st" ,-4,  "103 st"
 "104 st" ,-4,  "104 st"
 "110 st" ,-4,  "110 st"
 "111 st" ,-4,  "111 st"
 "116 st - columbia university" ,10,  "116 st-columbia"
 "116 st" ,-4,  "116 st"
 "121 st" ,-4,  "121 st"
 "125 st" ,-4,  "125 st"
 "135 st" ,-4,  "135 st"
 "137 st - city college" ,4,  "137 st-city col"
 "138 st - grand concourse" ,8,  "138 st-gr conc"
 "kew gardens - union tpke" ,14,"union tpk-kew g"
 "union sq - 14 st" ,5,  "14 st-union sq"
 "14 st - union sq" ,0,  "14 st-union sq"
 "14 st" ,-4,  "14 st"
 "145 st" ,-4,  "145 st"
 "149 st - grand concourse" ,8,  "149 st-gr conc"
 "15 st - prospect park" ,4,  "15 st-prospect"
 "155 st" ,-4,  "155 st"
 "157 st" ,-4,  "157 st"
 "161 st - yankee stadium" ,7,  "161 st-yankee"
 "163 st - amsterdam av" ,3,  "163 st-amsterdm"
 "167 st" ,-4,  "167 st"
 "168 st - washington hts" ,13,  "168 st-broadway"
 "169 st" ,-4,  "169 st"
 "170 st" ,-4,  "170 st"
 "174 st" ,-4,  "174 st"
 "174-175 sts" ,1,  "174-175 st"
 "175 st" ,-4,  "175 st"
 "176 st" ,-4,  "176 st"
 "18 av" ,-1,  "18 av
 "18 st" ,-4,  "18 st"
 "181 st" ,-4,  "181 st"
 "182-183 sts" ,1,  "182-183 st"
 "183 st" ,-4,  "183 st"
 "190 st" ,-4,  "190 st"
 "191 st" ,-4,  "191 st"
 "2 av" ,-1,  "2 av
 "20 av" ,-1,  "20 av
 "207 st" ,-4,  "207 st"
 "21 st" ,-4,  "21 st"
 "215 st" ,-4,  "215 st"
 "219 st" ,-4,  "219 st"
 "225 st" ,-4,  "225 st"
 "23 st" ,-4,  "23 st"
 "231 st" ,-4,  "231 st"
 "233 st" ,-4,  "233 st"
 "238 st" ,-4,  "238 st"
 "25 av" ,-1,  "25 av
 "25 st" ,-4,  "25 st"
 "28 st" ,-4,  "28 st"
 "3 av" ,-1,  "3 av
 "33 st" ,-4,  "33 st"
 "34 st - herald sq" ,0,  "34 st-herald sq"
 "34 st - penn station" ,4,  "34 st-penn sta"
 "36 av" ,2,  "36 st"
 "36 st" ,-4,"washington-36 a"
 "4 av" ,-1,  "4 av
 "42 st - bryant pk" ,0,  "42 st-bryant pk"
 "42 st - port authority bus terminal" ,17,  "42 st-pa bus te"
 "45 st" ,-4,  "45 st"
 "46 st" ,-4,  "46 st"
 "47-50 sts - rockefeller ctr" ,11,  "47-50 st-rock"
 "5 av" ,2,  "5 av st"
 "5 av/59 st" ,5,"5 ave-59 st"
 "5 av/53 st" ,5,"5 ave-53 st"
 "50 st" ,-4,  "50 st"
 "51 st" ,-4,  "51 st"
 "53 st" ,-4,  "53 st"
 "55 st" ,-4,  "55 st"
 "57 st - 7 av" ,1,  "57 st-7 av
 "57 st" ,-4,  "57 st"
 "59 st - columbus circle" ,6,  "59 st-columbus"
 "59 st" ,-4,  "59 st"
 "6 av" ,-1,  "6 av
 "63 dr - rego park" ,0,  "63 dr-rego park"
 "65 st" ,-4,  "65 st"
 "66 st - lincoln center" ,6,  "66 st-lincoln"
 "67 av" ,-1,  "67 av
 "68 st - hunter college" ,4,  "68st-hunter col"
 "7 av" ,-1,  "7 av
 "71 st" ,-4,  "71 st"
 "72 st" ,-4,  "72 st"
