"","stop_id",,"google_station"

"1","101",1,"""Van Cortlandt Park - 242 St"""

"2","103",1,"""238 St"""

"3","104",1,"""231 St"""

"4","106",1,"""Marble Hill - 225 St"""

"5","107",1,"""215 St"""

"6","108",1,"""207 St"""

"7","109",1,"""Dyckman St"""

"8","110",1,"""191 St"""

"9","111",1,"""181 St"""

"10","113",1,"""157 St"""

"11","114",1,"""145 St"""

"12","115",1,"""137 St - City College"""

"13","116",1,"""125 St"""

"14","117",1,"""116 St - Columbia University"""

"15","118",1,"""Cathedral Pkwy"""

"16","119",1,"""103 St"""

"17","121",1,"""86 St"""

"18","122",1,"""79 St"""

"19","124",1,"""66 St - Lincoln Center"""

"20","126",1,"""50 St"""

"21","129",1,"""28 St"""

"22","130",1,"""23 St"""

"23","131",1,"""18 St"""

"24","133",1,"""Christopher St - Sheridan Sq"""

"25","134",1,"""Houston St"""

"26","135",1,"""Canal St"""

"27","136",1,"""Franklin St"""

"28","138",1,"""Cortlandt St"""

"29","139",1,"""Rector St"""

"30","201",2,"""Wakefield - 241 St"""

"31","214",2,"""West Farms Sq - E Tremont Av"""

"32","215",2,"""174 St"""

"33","216",2,"""Freeman St"""

"34","217",2,"""Simpson St"""

"35","218",2,"""Intervale Av"""

"36","219",2,"""Prospect Av"""

"37","220",2,"""Jackson Av"""

"38","241",2,"""President St"""

"39","120",123,"""96 St"""

"40","123",123,"""72 St"""

"41","128",123,"""34 St - Penn Station"""

"42","137",123,"""Chambers St"""

"43","224",23,"""135 St"""

"44","225",23,"""125 St"""

"45","226",23,"""116 St"""

"46","227",23,"""Central Park North (110 St)"""

"47","230",23,"""Wall St"""

"48","231",23,"""Clark St"""

"49","233",23,"""Hoyt St"""

"50","301",3,"""Harlem - 148 St"""

"51","302",3,"""145 St"""

"52","236",234,"""Bergen St"""

"53","237",234,"""Grand Army Plaza"""

"54","238",234,"""Eastern Pkwy - Brooklyn Museum"""

"55","248",34,"""Nostrand Av"""

"56","249",34,"""Kingston Av"""

"57","251",34,"""Sutter Av - Rutland Rd"""

"58","252",34,"""Saratoga Av"""

"59","253",34,"""Rockaway Av"""

"60","255",34,"""Pennsylvania Av"""

"61","256",34,"""Van Siclen Av"""

"62","257",34,"""New Lots Av"""

"63","401",4,"""Woodlawn"""

"64","402",4,"""Mosholu Pkwy"""

"65","405",4,"""Bedford Park Blvd - Lehman College"""

"66","406",4,"""Kingsbridge Rd"""

"67","407",4,"""Fordham Rd"""

"68","408",4,"""183 St"""

"69","409",4,"""Burnside Av"""

"70","410",4,"""176 St"""

"71","411",4,"""Mt Eden Av"""

"72","412",4,"""170 St"""

"73","413",4,"""167 St"""

"74","204",25,"""Nereid Av"""

"75","205",25,"""233 St"""

"76","206",25,"""225 St"""

"77","207",25,"""219 St"""

"78","208",25,"""Gun Hill Rd"""

"79","209",25,"""Burke Av"""

"80","210",25,"""Allerton Av"""

"81","211",25,"""Pelham Pkwy"""

"82","212",25,"""Bronx Park East"""

"83","213",25,"""E 180 St"""

"84","221",25,"""3 Av - 149 St"""

"85","234",2345,"""Nevins St"""

"86","242",25,"""Sterling St"""

"87","243",25,"""Winthrop St"""

"88","244",25,"""Church Av"""

"89","245",25,"""Beverly Rd"""

"90","246",25,"""Newkirk Av"""

"91","247",25,"""Flatbush Av - Brooklyn College"""

"92","250",345,"""Crown Hts - Utica Av"""

"93","416",45,"""138 St - Grand Concourse"""

"94","419",45,"""Wall St"""

"95","420",45,"""Bowling Green"""

"96","501",5,"""Eastchester - Dyre Av"""

"97","502",5,"""Baychester Av"""

"98","503",5,"""Gun Hill Rd"""

"99","609",6,"""St Lawrence Av"""

"100","610",6,"""Morrison Av- Sound View"""

"101","611",6,"""Elder Av"""

"102","612",6,"""Whitlock Av"""

"103","614",6,"""Longwood Av"""

"104","615",6,"""E 149 St"""

"105","616",6,"""E 143 St - St Mary's St"""

"106","617",6,"""Cypress Av"""

"107","618",6,"""Brook Av"""

"108","601",6,"""Pelham Bay Park"""

"109","602",6,"""Buhre Av"""

"110","603",6,"""Middletown Rd"""

"111","604",6,"""Westchester Sq - E Tremont Av"""

"112","606",6,"""Zerega Av"""

"113","607",6,"""Castle Hill Av"""

"114","608",6,"""Parkchester"""

"115","613",6,"""Hunts Point Av"""

"116","619",6,"""3 Av - 138 St"""

"117","621",456,"""125 St"""

"118","622",6,"""116 St"""

"119","623",6,"""110 St"""

"120","624",6,"""103 St"""

"121","625",6,"""96 St"""

"122","626",456,"""86 St"""

"123","627",6,"""77 St"""

"124","628",6,"""68 St - Hunter College"""

"125","632",6,"""33 St"""

"126","633",6,"""28 St"""

"127","634",6,"""23 St"""

"128","636",6,"""Astor Pl"""

"129","638",6,"""Spring St"""

"130","705",7,"""111 St"""

"131","706",7,"""103 St - Corona Plaza"""

"132","708",7,"""90 St - Elmhurst Av"""

"133","709",7,"""82 St - Jackson Hts"""

"134","711",7,"""69 St"""

"135","713",7,"""52 St"""

"136","714",7,"""46 St"""

"137","715",7,"""40 St"""

"138","716",7,"""33 St"""

"139","701",7,"""Flushing - Main St"""

"140","702",7,"""Mets - Willets Point"""

"141","707",7,"""Junction Blvd"""

"142","712",7,"""Woodside - 61 St"""

"143","720",7,"""Hunters Point Av"""

"144","721",7,"""Vernon Blvd - Jackson Av"""

"145","A02",A,"""Inwood - 207 St"""

"146","A03",A,"""Dyckman St"""

"147","A05",A,"""190 St"""

"148","A06",A,"""181 St"""

"149","A07",A,"""175 St"""

"150","A57",A,"""Grant Av"""

"151","A59",A,"""80 St"""

"152","A60",A,"""88 St"""

"153","A61",A,"""Rockaway Blvd"""

"154","H02",A,"""Aqueduct - N Conduit Av"""

"155","H03",A,"""Howard Beach - JFK Airport"""

"156","H06",A,"""Beach 67 St"""

"157","H07",A,"""Beach 60 St"""

"158","H08",A,"""Beach 44 St"""

"159","H09",A,"""Beach 36 St"""

"160","H10",A,"""Beach 25 St"""

"161","H11",A,"""Far Rockaway - Mott Av"""

"162","A10",AC,"""163 St - Amsterdam Av"""

"163","A11",AC,"""155 St"""

"164","A14",ABC,"""135 St"""

"165","A16",ABC,"""116 St"""

"166","A17",ABC,"""Cathedral Pkwy (110 St)"""

"167","A18",ABC,"""103 St"""

"168","A19",ABC,"""96 St"""

"169","A20",ABC,"""86 St"""

"170","A21",ABC,"""81 St - Museum of Natural History"""

"171","A22",ABC,"""72 St"""

"172","A40",AC,"""High St"""

"173","A43",AC,"""Lafayette Av"""

"174","A44",AC,"""Clinton - Washington Avs"""

"175","A46",AC,"""Nostrand Av"""

"176","A47",AC,"""Kingston - Throop Avs"""

"177","A48",AC,"""Utica Av"""

"178","A49",AC,"""Ralph Av"""

"179","A50",AC,"""Rockaway Av"""

"180","A52",AC,"""Liberty Av"""

"181","A53",AC,"""Van Siclen Av"""

"182","A54",AC,"""Shepherd Av"""

"183","A55",AC,"""Euclid Av"""

"184","A15",ABCD,"""125 St"""

"185","B12",D,"""9 Av"""

"186","B13",D,"""Fort Hamilton Pkwy"""

"187","B14",D,"""50 St"""

"188","B15",D,"""55 St"""

"189","B17",D,"""71 St"""

"190","B18",D,"""79 St"""

"191","B19",D,"""18 Av"""

"192","B20",D,"""20 Av"""

"193","B21",D,"""Bay Pkwy"""

"194","B22",D,"""25 Av"""

"195","B23",D,"""Bay 50 St"""

"196","D01",D,"""Norwood - 205 St"""

"197","D03",BD,"""Bedford Park Blvd"""

"198","D04",BD,"""Kingsbridge Rd"""

"199","D05",BD,"""Fordham Rd"""

"200","D06",BD,"""182-183 Sts"""

"201","D07",BD,"""Tremont Av"""

"202","D08",BD,"""174-175 Sts"""

"203","D09",BD,"""170 St"""

"204","D10",BD,"""167 St"""

"205","D12",BD,"""155 St"""

"206","D22",BD,"""Grand St"""

"207","A25",ACE,"""50 St"""

"208","A28",ACE,"""34 St - Penn Station"""

"209","A30",ACE,"""23 St"""

"210","A33",ACE,"""Spring St"""

"211","A34",ACE,"""Canal St"""

"212","D14",BDE,"""7 Av"""

"213","G07",E,"""Jamaica - Van Wyck"""

"214","B04",F,"""21 St - Queensbridge"""

"215","B06",F,"""Roosevelt Island"""

"216","B10",F,"""57 St"""

"217","F01",F,"""Jamaica - 179 St"""

"218","F02",F,"""169 St"""

"219","F03",F,"""Parsons Blvd"""

"220","F04",F,"""Sutphin Blvd"""

"221","F05",EF,"""Briarwood - Van Wyck Blvd"""

"222","F06",EF,"""Kew Gardens - Union Tpke"""

"223","F07",EF,"""75 Av"""

"224","F14",F,"""2 Av"""

"225","F16",F,"""East Broadway"""

"226","F18",F,"""York St"""

"227","F29",F,"""Ditmas Av"""

"228","F30",F,"""18 Av"""

"229","F31",F,"""Avenue I"""

"230","F32",F,"""Bay Pkwy"""

"231","F33",F,"""Avenue N"""

"232","F34",F,"""Avenue P"""

"233","F35",F,"""Kings Hwy"""

"234","F36",F,"""Avenue U"""

"235","F38",F,"""Avenue X"""

"236","F39",F,"""Neptune Av"""

"237","S03",FS,"""Park Pl"""

"238","A42",ACG,"""Hoyt - Schermerhorn Sts"""

"239","F20",FG,"""Bergen St"""

"240","F21",FG,"""Carroll St"""

"241","F22",FG,"""Smith - 9 Sts"""

"242","F24",FG,"""7 Av"""

"243","F25",FG,"""15 St - Prospect Park"""

"244","F26",FG,"""Fort Hamilton Pkwy"""

"245","F27",FG,"""Church Av"""

"246","G24",G,"""21 St"""

"247","G26",G,"""Greenpoint Av"""

"248","G28",G,"""Nassau Av"""

"249","G30",G,"""Broadway"""

"250","G31",G,"""Flushing Av"""

"251","G32",G,"""Myrtle - Willoughby Avs"""

"252","G33",G,"""Bedford - Nostrand Avs"""

"253","G34",G,"""Classon Av"""

"254","G35",G,"""Clinton - Washington Avs"""

"255","G36",G,"""Fulton St"""

"256","H04",AH,"""Broad Channel"""

"257","H12",H,"""Beach 90 St"""

"258","H13",H,"""Beach 98 St"""

"259","H14",H,"""Beach 105 St"""

"260","H15",H,"""Rockaway Park - Beach 116 St"""

"261","J13",J,"""111 St"""

"262","J16",J,"""85 St - Forest Pkwy"""

"263","J19",J,"""Cypress Hills"""

"264","J22",J,"""Cleveland St"""

"265","J29",J,"""Halsey St"""

"266","J31",J,"""Kosciuszko St"""

"267","L05",L,"""3 Av"""

"268","L06",L,"""1 Av"""

"269","L08",L,"""Bedford Av"""

"270","L11",L,"""Graham Av"""

"271","L12",L,"""Grand St"""

"272","L13",L,"""Montrose Av"""

"273","L14",L,"""Morgan Av"""

"274","L15",L,"""Jefferson St"""

"275","L16",L,"""DeKalb Av"""

"276","L19",L,"""Halsey St"""

"277","L20",L,"""Wilson Av"""

"278","L21",L,"""Bushwick Av - Aberdeen St"""

"279","L24",L,"""Atlantic Av"""

"280","L25",L,"""Sutter Av"""

"281","L27",L,"""New Lots Av"""

