"","station","station_id","line_name","entry_exits_period","date","hourly_entries","hourly_exits"
"1","1 AVE","L06","L","0:4","01/01/2015",898.25,1181.75
"2","1 AVE","L06","L","0:4","01/02/2015",350.5,259.25
"3","1 AVE","L06","L","0:4","01/05/2015",251,170
"4","1 AVE","L06","L","0:4","01/06/2015",289.75,172.25
"5","1 AVE","L06","L","0:4","01/07/2015",299.75,199.5
"6","1 AVE","L06","L","0:4","01/08/2015",280.75,203
"7","1 AVE","L06","L","0:4","01/09/2015",370,222.25
"8","1 AVE","L06","L","0:4","12/29/2014",296.25,225.5
"9","1 AVE","L06","L","0:4","12/30/2014",366.5,274.75
"10","1 AVE","L06","L","0:4","12/31/2014",529.5,365
"11","1 AVE","L06","L","12:16","01/01/2015",808.25,668
"12","1 AVE","L06","L","12:16","01/02/2015",1032.25,1040.5
"13","1 AVE","L06","L","12:16","01/05/2015",937.25,994.5
"14","1 AVE","L06","L","12:16","01/06/2015",948,955.75
"15","1 AVE","L06","L","12:16","01/07/2015",955.75,997.25
"16","1 AVE","L06","L","12:16","01/08/2015",921.5,991.25
"17","1 AVE","L06","L","12:16","01/09/2015",1034,988.5
"18","1 AVE","L06","L","12:16","12/29/2014",919.75,989.5
"19","1 AVE","L06","L","12:16","12/30/2014",1036,1045.75
"20","1 AVE","L06","L","12:16","12/31/2014",1154.25,1153.25
"21","1 AVE","L06","L","16:20","01/01/2015",1000.5,1080.5
"22","1 AVE","L06","L","16:20","01/02/2015",1557.5,1699.5
"23","1 AVE","L06","L","16:20","01/05/2015",1864.25,1750
"24","1 AVE","L06","L","16:20","01/06/2015",1907.75,1798.5
"25","1 AVE","L06","L","16:20","01/07/2015",1923.25,1807.75
"26","1 AVE","L06","L","16:20","01/08/2015",1885.75,1874
"27","1 AVE","L06","L","16:20","01/09/2015",1837,1861.25
"28","1 AVE","L06","L","16:20","12/29/2014",1547,1600.25
"29","1 AVE","L06","L","16:20","12/30/2014",1655.75,1787.75
"30","1 AVE","L06","L","16:20","12/31/2014",1558.25,1825.5
"31","1 AVE","L06","L","20:0","01/01/2015",758.5,860
"32","1 AVE","L06","L","20:0","01/02/2015",1221.75,1343.5
"33","1 AVE","L06","L","20:0","01/05/2015",944.5,1288.75
"34","1 AVE","L06","L","20:0","01/06/2015",989.5,1291
"35","1 AVE","L06","L","20:0","01/07/2015",952.75,1403.75
"36","1 AVE","L06","L","20:0","01/08/2015",1047.25,1410.25
"37","1 AVE","L06","L","20:0","01/09/2015",1391.5,1662
"38","1 AVE","L06","L","20:0","12/29/2014",983.75,1113.5
"39","1 AVE","L06","L","20:0","12/30/2014",1160,1318
"40","1 AVE","L06","L","20:0","12/31/2014",1686.25,1653
"41","1 AVE","L06","L","4:8","01/01/2015",300.75,425
"42","1 AVE","L06","L","4:8","01/02/2015",106,243
"43","1 AVE","L06","L","4:8","01/05/2015",172.5,318.5
"44","1 AVE","L06","L","4:8","01/06/2015",181.75,301
"45","1 AVE","L06","L","4:8","01/07/2015",125.5,264.25
"46","1 AVE","L06","L","4:8","01/08/2015",177.75,302
"47","1 AVE","L06","L","4:8","01/09/2015",174.25,317
"48","1 AVE","L06","L","4:8","12/29/2014",126.5,289.75
"49","1 AVE","L06","L","4:8","12/30/2014",126,288.75
"50","1 AVE","L06","L","4:8","12/31/2014",132.5,289
"51","1 AVE","L06","L","8:12","01/01/2015",248.5,312
"52","1 AVE","L06","L","8:12","01/02/2015",827.75,1033
"53","1 AVE","L06","L","8:12","01/05/2015",1563.75,1711.75
"54","1 AVE","L06","L","8:12","01/06/2015",1723,1717
"55","1 AVE","L06","L","8:12","01/07/2015",1221,1582
"56","1 AVE","L06","L","8:12","01/08/2015",1770.75,1673
"57","1 AVE","L06","L","8:12","01/09/2015",1862.25,1660.25
"58","1 AVE","L06","L","8:12","12/29/2014",954.25,1124.5
"59","1 AVE","L06","L","8:12","12/30/2014",1004.25,1146.5
"60","1 AVE","L06","L","8:12","12/31/2014",876,1063.75
"61","103 ST","119","1","0:4","01/01/2015",840,474
"62","103 ST","119","1","0:4","01/02/2015",322.5,272.5
"63","103 ST","119","1","0:4","01/05/2015",257.25,210
"64","103 ST","119","1","0:4","01/06/2015",310.25,288.25
"65","103 ST","119","1","0:4","01/07/2015",298.25,296.5
"66","103 ST","119","1","0:4","01/08/2015",295.75,284.5
"67","103 ST","119","1","0:4","01/09/2015",305,320.25
"68","103 ST","119","1","0:4","12/29/2014",288.75,290
"69","103 ST","119","1","0:4","12/30/2014",373,344.5
"70","103 ST","119","1","0:4","12/31/2014",403,372.25
"71","103 ST","119","1","12:16","01/01/2015",660.5,182.5
"72","103 ST","119","1","12:16","01/02/2015",731.75,304.5
"73","103 ST","119","1","12:16","01/05/2015",648.25,303.5
"74","103 ST","119","1","12:16","01/06/2015",636.25,292.25
"75","103 ST","119","1","12:16","01/07/2015",654.5,324
"76","103 ST","119","1","12:16","01/08/2015",657.75,282
"77","103 ST","119","1","12:16","01/09/2015",661.75,312.75
"78","103 ST","119","1","12:16","12/29/2014",694.75,268.75
"79","103 ST","119","1","12:16","12/30/2014",809.75,309.25
"80","103 ST","119","1","12:16","12/31/2014",790.5,323.75
"81","103 ST","119","1","16:20","01/01/2015",540,292.75
"82","103 ST","119","1","16:20","01/02/2015",686.75,429.25
"83","103 ST","119","1","16:20","01/05/2015",774.5,560.5
"84","103 ST","119","1","16:20","01/06/2015",745,580.5
"85","103 ST","119","1","16:20","01/07/2015",770.25,593.5
"86","103 ST","119","1","16:20","01/08/2015",768.5,559
"87","103 ST","119","1","16:20","01/09/2015",815.25,531
"88","103 ST","119","1","16:20","12/29/2014",746.5,490.75
"89","103 ST","119","1","16:20","12/30/2014",820.5,465.75
"90","103 ST","119","1","16:20","12/31/2014",810.25,459.25
"91","103 ST","119","1","4:8","01/01/2015",66.25,61
"92","103 ST","119","1","4:8","01/02/2015",174.75,58.5
"93","103 ST","119","1","4:8","01/05/2015",409,96.75
"94","103 ST","119","1","4:8","01/06/2015",395.75,98
"95","103 ST","119","1","4:8","01/07/2015",410,90
"96","103 ST","119","1","4:8","01/08/2015",383.75,90
"97","103 ST","119","1","4:8","01/09/2015",392,92
"98","103 ST","119","1","4:8","12/29/2014",199.25,76
"99","103 ST","119","1","4:8","12/30/2014",202.75,82.25
"100","103 ST","119","1","4:8","12/31/2014",186,71.75
"101","103 ST","119","1","8:12","01/01/2015",342.25,95
"102","103 ST","119","1","8:12","01/02/2015",774.75,200
"103","103 ST","119","1","8:12","01/05/2015",1035,263.75
"104","103 ST","119","1","8:12","01/06/2015",1087.75,258.5
"105","103 ST","119","1","8:12","01/07/2015",1094,272.75
"106","103 ST","119","1","8:12","01/08/2015",1077.5,234.5
"107","103 ST","119","1","8:12","01/09/2015",1140.25,251.75
"108","103 ST","119","1","8:12","12/29/2014",933.75,196.5
"109","103 ST","119","1","8:12","12/30/2014",939.5,203.25
